cf01_seed_id,canonical_search_key,source_origins,citation,title,year,doi,species,existing_egwee_programmes,identity_provenance,bibliographic_resolution_status,backward_citation_status,forward_citation_status,citation_expansion_cutoff,screening_status,outcome_opened
CF01S0022,SF04:SF04R12,SF04:SF04R12,Novick et al. (2003) Molecular Ecology 12: 2885-2893,,2003,,Swietenia macrophylla,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0023,SF04:SF04R13,SF04:SF04R13,Gómez-Fernández et al. (2016) Conservation Genetics 17: 631-641,,2016,,Lepidium subulatum,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0024,SF04:SF04R14,SF04:SF04R14,Addisalem et al. (2016) Forest Ecology and Management 360: 253-260,,2016,,Boswellia papyrifera,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0025,SF04:SF04R15,SF04:SF04R15,Li et al. (2015) Pakistan Journal of Botany 47: 2171-2179,,2015,,Sauvagesia rhodoleuca,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0026,SF04:SF04R16,SF04:SF04R16,Baucom et al. (2005) Conservation Genetics 6: 39-50,,2005,,Acer saccharum,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0027,SF04:SF04R17,SF04:SF04R17,Peñaloza-Ramírez et al. (2016) Revista Mexicana de Biodiversidad 87: 990-1001,,2016,,Chamaedorea alternans,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0028,SF04:SF04R19,SF04:SF04R19,Sujii et al. (2017) Biological Conservation 211: 110-116,,2017,,Centrolobium tomentosum,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0029,SF04:SF04R21,SF04:SF04R21,Millán-Aguilar et al. (2016) Forests 7: art197,,2016,,Avicennia germinans,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0030,SF04:SF04R22,SF04:SF04R22,Otao et al. (2016) Applications in Plant Sciences 4: art1500110,,2016,,Indigofera pseudotinctoria,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0031,SF04:SF04R23,SF04:SF04R23,Ahrens & James (2016) Conservation Genetics 17: 891-901,,2016,,Comesperma polygaloides,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0032,SF04:SF04R24,SF04:SF04R24,Lara-Romero et al. (2016) Heredity 116: 417-423,,2016,,Silene ciliata,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0033,SF04:SF04R25,SF04:SF04R25,Aavik et al. (2017) Biological Conservation 210: 125-135,,2017,,Rhinanthus osiliensis,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0034,SF04:SF04R26,SF04:SF04R26,Melo & Franceschinelli (2016) Journal of Tropical Ecology 32: 135-145,,2016,,Cabralea canjerana,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0035,SF04:SF04R27,SF04:SF04R27,Matesanz et al. (2017) Frontiers in Plant Science 8: art843,,2017,,Centaurea hyssopifolia,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0036,SF04:SF04R28,SF04:SF04R28,Suárez-Montes et al. (2016) PeerJ 4: e2764,,2016,,Aphelandra aurantiaca,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0037,SF04:SF04R29,SF04:SF04R29,Astuti et al. (2017) Nature Conservation 22: 169-190,,2017,,Cistus laurifolius,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0038,SF04:SF04R30,SF04:SF04R30,Bupp et al. (2017) Conservation Genetics 18: 77-88,,2017,,Lupinus aridorum,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0039,SF04:SF04R31,SF04:SF04R31,Crichton et al. (2016) Conservation Genetics 17: 547-556,,2016,,Melampyrum sylvaticum,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0040,SF04:SF04R32,SF04:SF04R32,Martínez-Natarén et al. (2017) Journal of Tropical Ecology 33: 285-294,,2017,,Manikara zapota,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0041,SF04:SF04R33,SF04:SF04R33,Shiga et al. (2017) Journal of Plant Research 130: 83-93,,2017,,Nuphar submersa,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0042,SF04:SF04R34,SF04:SF04R34,Stevens et al. (2015) New Zealand Journal of Ecology 39: 190-197,,2015,,Melicytus ramiflorus,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0043,SF04:SF04R36,SF04:SF04R36,White et al. (1999) Molecular Ecology 8: 1899-1909,,1999,,Swietenia humilis Zucc.,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0044,SF04:SF04R37,SF04:SF04R37,Tunaitiene et al. (2017) Biochemical Systematics and Ecology 70: 294-303,,2017,,Erigeron annuus,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0045,SF04:SF04R38,SF04:SF04R38,Heinicke et al. (2016) Flora 224: 42-49.,,2016,,Stipa pennata,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0046,SF05:1,SF05:1,"Beghé, D., Piotti, A., Satovic, Z., De La Rosa, R., Belaj, A., 2017. Pollen-mediated gene flow and fine-scale spatial genetic structure in Olea europaea subsp. europaea var. sylvestris. Ann. Bot. 119, 671–679. https://doi.org/10.1093/aob/mcw246",,2017,10.1093/aob/mcw246,Olea europaea spp europaea var sylvestris,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0047,SF05:10,SF05:10,"Duminil, J., Mendene Abessolo, D.T., Ndiade Bourobou, D., Doucet, J.L., Loo, J., Hardy, O.J., 2016. High selfing rate, limited pollen dispersal and inbreeding depression in the emblematic African rain forest tree Baillonella toxisperma – Management implications. For. Ecol. Manage. 379, 20–29. https://doi.org/10.1016/j.foreco.2016.08.003",,2016,10.1016/j.foreco.2016.08.003,Baillonella toxisperma,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0048,SF05:11,SF05:11,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.101",,2016,10.1038/hdy.2015.101,Erythrophleum suaveolens,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0049,SF05:13,SF05:13,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292",,2015,10.1017/s0266467415000292,Manikara maxima,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0050,SF05:15,SF05:15,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",,2006,10.1111/j.1365-294x.2005.02785.x,Dycorynia guianensis; Moronobea coccinea; Sextonia rubra; Symphonia globulifera; Vouacapoua americana,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0051,SF05:16,SF05:16,"Heer, K., Kalko, E.K.V., Albrecht, L., García-Villacorta, R., Staeps, F.C., Herre, E.A., Dick, C.W., 2015. Spatial scales of genetic structure in free-standing and strangler figs (Ficus, Moraceae) inhabiting neotropical forests. PLoS One 10, 1–18. https://doi.org/10.1371/journal.pone.0133581",,2015,10.1371/journal.pone.0133581,Ficus yoponensis,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0052,SF05:17,SF05:17,"Jump, A.S., Rico, L., Coll, M., Peñuelas, J., 2012. Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability. Heredity (Edinb). 108, 633–639. https://doi.org/10.1038/hdy.2012.1",,2012,10.1038/hdy.2012.1,Fagus sylvatica,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0053,SF05:19,SF05:19,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266",,2009,10.3732/ajb.0800266,Adansonia digitata,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0054,SF05:2,SF05:2,"Berens, D.G., Braun, C., Gonzalez-Martinez, S.C., Griebeler, E.M., Nathan, R., Böhning-Gaese, K., 2014. Fine-scale spatial genetic dynamics over the life cycle of the tropical tree Prunus africana. Heredity (Edinb). 113, 401–407. https://doi.org/10.1038/hdy.2014.40",,2014,10.1038/hdy.2014.40,Prunus africana,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0055,SF05:20,SF05:20,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",,2015,10.1007/s11295-015-0885-7,Schinus molle,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0056,SF05:21,SF05:21,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",,2015,10.1007/s00606-014-1173-y,Quercus ellipsoidalis; Quercus rubra,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0057,SF05:22,SF05:22,"Mizuki, I., Ishida, K., Tani, N., Tsumura, Y., 2010. Fine-scale spatial structure of genets and sexes in the dioecious plant Dioscorea japonica, which disperses by both bulbils and seeds. Evol. Ecol. 24, 1399–1415. https://doi.org/10.1007/s10682-010-9396-z.",,2010,10.1007/s10682-010-9396-z,Dioscorea japonica,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0058,SF05:23,SF05:23,"Nakagawa, M., 2010. Fine-scale genetic structure within plots of Polygala reinii (Polygalaceae) having an ant-dispersal seed. J. Plant Res. 123, 355–362. https://doi.org/10.1007/s10265-009-0276-y",,2010,10.1007/s10265-009-0276-y,Polygala reinii,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0059,SF05:24,SF05:24,"Oddou-Muratorio, S., Demesure-Musch, B., Pélissier, R., Gouyon, P.H., 2004. Impacts of gene flow and logging history on the local genetic structure of a scattered tree species, Sorbus torminalis L. Crantz. Mol. Ecol. 13, 3689–3702. https://doi.org/10.1111/j.1365-294X.2004.02373.x",,2004,10.1111/j.1365-294x.2004.02373.x,Sorbus torminalis,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0060,SF05:25,SF05:25,"Oddou-Muratorio, S., Bontemps, A., Klein, E.K., Chybicki, I., Vendramin, G.G., Suyama, Y., 2010. Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata. For. Ecol. Manage. 259, 2151–2159. https://doi.org/10.1016/j.foreco.2010.03.001",,2010,10.1016/j.foreco.2010.03.001,Fagus crenata; Fagus sylvatica,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0061,SF05:27,SF05:27,"Sant’Anna, C.S., Sebbenn, A.M., Klabunde, G.H.F., Bittencourt, R., Nodari, R.O., Mantovani, A., dos Reis, M.S., 2013. Realized pollen and seed dispersal within a continuous population of the dioecious coniferous Brazilian pine [Araucaria angustifolia (Bertol.) Kuntze]. Conserv. Genet. 14, 601–613. https://doi.org/10.1007/s10592-013-0451-5",,2013,10.1007/s10592-013-0451-5,Araucaria angustifolia,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0062,SF05:28,SF05:28,"Schroeder, J.W., Tran, H.T., Dick, C.W., 2014. Fine scale spatial genetic structure in Pouteria reticulata (Engl.) Eyma (Sapotaceae), a dioecious, vertebrate dispersed tropical rain forest tree species. Glob. Ecol. Conserv. 1, 43–49. https://doi.org/10.1016/j.gecco.2014.07.002",,2014,10.1016/j.gecco.2014.07.002,Pouteria reticulata,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0063,SF05:29,SF05:29,"Soto, A., Lorenzo, Z., Gil, L., 2007. Differences in fine-scale genetic structure and dispersal in Quercus ilex L. and Q. suber L.: Consequences for regeneration of mediterranean open woods. Heredity (Edinb). 99, 601–607. https://doi.org/10.1038/sj.hdy.6801007",,2007,10.1038/sj.hdy.6801007,Quercus ilex; Quercus suber,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0064,SF05:30,SF05:30,"Theim, T.J., Shirk, R.Y., Givnish, T.J., 2014. Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity. Am. J. Bot. 101, 1189–1199. https://doi.org/10.3732/ajb.1300460",,2014,10.3732/ajb.1300460,Psychothria horizontalis; Psychothria marginata; Psychotria acuminata; Psychotria hoffmannseggiana,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0065,SF05:31,SF05:31,"Theim, T.J., Shirk, R.Y., Givnish, T.J., 2014. Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity. Am. J. Bot. 101, 1189–1199. https://doi.org/10.3732/ajb.1300460",,2008,10.3732/ajb.1300460,Ceratiola ericoides,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0066,SF05:32,SF05:32,"Wang, R., Compton, S.G., Chen, X.Y., 2011. Fragmentation can increase spatial genetic structure without decreasing pollen-mediated gene flow in a wind-pollinated tree. Mol. Ecol. 20, 4421–4432. https://doi.org/10.1111/j.1365-294X.2011.05293.x",,2011,10.1111/j.1365-294x.2011.05293.x,Castanopsis sclerophylla,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0067,SF05:4,SF05:4,"Bizoux, J.P., Daïnou, K., Bourland, N., Hardy, O.J., Heuertz, M., Mahy, G., Doucet, J.L., 2009. Spatial genetic structure in Milicia excelsa (Moraceae) indicates extensive gene dispersal in a low-density wind-pollinated tropical tree. Mol. Ecol. 18, 4398–4408. https://doi.org/10.1111/j.1365-294X.2009.04365.x",,2009,10.1111/j.1365-294x.2009.04365.x,Milicia excelsa,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0068,SF05:42,SF05:42,"Van Rossum, F., Triest, L., 2003. Spatial Genetic Structure and Reproductive Success in Fragmented and Continuous Populations of Primula vulgaris. Folia Geobot. 38, 239–254.",,2003,,Primula vulgaris,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0069,SF05:44,SF05:44,"Van Rossum, F., Triest, L., 2007. Fine-scale spatial genetic structure of the distylous Primula veris in fragmented habitats. Plant Biol. 9, 374–382. https://doi.org/10.1055/s-2006-924632",,2007,10.1055/s-2006-924632,Primula veris,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0070,SF05:46,SF05:46,"Born, C., Hardy, O.J., Chevallier, M.H., Ossari, S., Attéké, C., Wickings, E.J., Hossaert-Mckey, M., 2008. Small-scale spatial genetic structure in the Central African rainforest tree species Aucoumea klaineana: A stepwise approach to infer the impact of limited gene dispersal, population history and habitat fragmentation. Mol. Ecol. 17, 2041–2050. https://doi.org/10.1111/j.1365-294X.2007.03685.x",,2008,10.1111/j.1365-294x.2007.03685.x,Aucoumea klaineana,,materialized SF04/SF05/SF06 cross-frame canonical identity,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
