queue_id,canonical_identity_key,source_frames,source_ids,citation,species,metadata_layers,sf06_responses,land_use_factors,screen_basis,design_gate,screening_status,outcome_opened
IFQ011,SF06:SF06P067,SF06,SF06:SF06P067,Duffy et al. (2013) Journal of Ecology 101:953- 962,Kniphofia_linearifolia,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ012,SF06:SF06P068,SF06,SF06:SF06P068,Ehlers (1999) Nordic Journal of Botany 19:653- 663,Centaurea_scabiosa,F;I,Female fitness; Male fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ013,SF06:SF06P071,SF06,SF06:SF06P071,Favarin et al. (2022) Flora 296:152165,Limonium_narbonense,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ014,SF06:SF06P079,SF06,SF06:SF06P079,García & Chacoff (2007) Conservation Biology 21:400- 411,Crataegus_monogyna,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ015,SF06:SF06P086,SF06,SF06:SF06P086,González-Varo et al. (2009) Biological Conservation 142:1058- 1065,Myrtus_communis,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ016,SF06:SF06P089,SF06,SF06:SF06P089,Hadley et al. (2014) Ecology 95:2202- 2212,Heliconia_tortuosa,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ017,SF06:SF06P091,SF06,SF06:SF06P091,Hauber et al. (2022) South African Journal of Botany 146:48- 57,Trichodiadema_strumosum,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ018,SF06:SF06P092,SF06,SF06:SF06P092,Hendrix & Kyhl (2000) Conservation Biology 14:304- 313,Phlox_pilosa,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ019,SF06:SF06P110,SF06,SF06:SF06P110,Johnson et al. (2009) Biology Letters 5:282- 285,Satyrium_longicauda,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ020,SF06:SF06P125,SF06,SF06:SF06P125,Kolb (2008) Biological Conservation 141:2540- 2549,Phyteuma_spicatum,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ021,SF06:SF06P128,SF06,SF06:SF06P128,Kunin (1997) Journal of Ecology 225- 234,Sinapis_arvensis,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ022,SF06:SF06P139,SF06,SF06:SF06P139,Lopes & Buzato (2007) Oecologia 154:305- 314,Psychotria_suterella,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ023,SF06:SF06P143,SF06,SF06:SF06P143,Magrach et al. (2013) Journal of Ecology 101:713- 721,Tristerix_corymbosus,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ024,SF06:SF06P177,SF06,SF06:SF06P177,Pierce et al. (2018) Biodiversity and Conservation 27:891- 905,Gentiana_pneumonanthe,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ025,SF06:SF06P221,SF06,SF06:SF06P221,van Kleulen & Johnson (2005) American Journal of Botany 92:1124- 1130,Senna_didymobotrya,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ026,SF06:SF06P229,SF06,SF06:SF06P229,Wagenius & Lyon (2010) Ecology 91:733- 742,Echinacea_angustifolia,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ027,SF06:SF06P230,SF06,SF06:SF06P230,Wagenius (2006) Ecology 87:931- 941,Echinacea_angustifolia,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ028,SF06:SF06P241,SF06,SF06:SF06P241,Woods et al. (2022) Landscape Ecology 37:1059- 1073,Heliconia_tortuosa,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ029,SF06:SF06P242,SF06,SF06:SF06P242,Yates & Ladd (2004) Austral Ecology 29:189- 200,Verticordia_staminosa,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ030,SF06:SF06P244,SF06,SF06:SF06P244,Yates et al. (2007) Biodiversity and Conservation 16:1379- 1395,Melaleuca_quadrifida,F;I,Male fitness; Pollination,Habiat fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ031,SF06:SF06P248,SF06,SF06:SF06P248,Young & Pickup (2010) Journal of Applied Ecology 47:541- 548,Rutidosis_leptorrhynchoides,F;I,Female fitness; Male fitness; Pollination,Habitat fragmentation; Habitat Fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ032,SF06:SF06P250,SF06,SF06:SF06P250,Zhang & Lou (2015) Journal of Plant Ecology 8:154- 158,Solanum_rostratum,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
