cf01_seed_id,canonical_search_key,input_doi,input_citation,resolution_status,resolution_method,openalex_id,resolved_doi,resolved_title,work_identity_key,work_identity_status,canonical_seed_id_for_work,seed_ids_sharing_resolved_work,n_seed_ids_sharing_resolved_work,outcome_opened
CF01S0029,SF04:SF04R21,,Millán-Aguilar et al. (2016) Forests 7: art197,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0029,unresolved_seed_identity,CF01S0029,CF01S0029,1,no
CF01S0030,SF04:SF04R22,,Otao et al. (2016) Applications in Plant Sciences 4: art1500110,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0030,unresolved_seed_identity,CF01S0030,CF01S0030,1,no
CF01S0031,SF04:SF04R23,,Ahrens & James (2016) Conservation Genetics 17: 891-901,resolved,crossref_bibliographic_to_openalex_doi,W2473310046,10.1007/s10592-016-0830-9,"Conserving the small milkwort, Comesperma polygaloides, a vulnerable subshrub in a fragmented landscape",OPENALEX:W2473310046,resolved_unique_work,CF01S0031,CF01S0031,1,no
CF01S0032,SF04:SF04R24,,Lara-Romero et al. (2016) Heredity 116: 417-423,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0032,unresolved_seed_identity,CF01S0032,CF01S0032,1,no
CF01S0033,SF04:SF04R25,,Aavik et al. (2017) Biological Conservation 210: 125-135,resolved,crossref_bibliographic_to_openalex_doi,W2609963414,10.1016/j.biocon.2017.04.016,Genetic consequences of landscape change for rare endemic plants – A case study of Rhinanthus osiliensis,OPENALEX:W2609963414,resolved_unique_work,CF01S0033,CF01S0033,1,no
CF01S0034,SF04:SF04R26,,Melo & Franceschinelli (2016) Journal of Tropical Ecology 32: 135-145,resolved,crossref_bibliographic_to_openalex_doi,W2303132100,10.1017/s0266467416000067,"Gene flow and fine-scale spatial genetic structure inCabralea canjerana(Meliaceae), a common tree species from the Brazilian Atlantic forest",OPENALEX:W2303132100,resolved_unique_work,CF01S0034,CF01S0034,1,no
CF01S0035,SF04:SF04R27,,Matesanz et al. (2017) Frontiers in Plant Science 8: art843,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0035,unresolved_seed_identity,CF01S0035,CF01S0035,1,no
CF01S0036,SF04:SF04R28,,Suárez-Montes et al. (2016) PeerJ 4: e2764,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0036,unresolved_seed_identity,CF01S0036,CF01S0036,1,no
CF01S0037,SF04:SF04R29,,Astuti et al. (2017) Nature Conservation 22: 169-190,resolved,crossref_bibliographic_to_openalex_doi,W2765209763,10.3897/natureconservation.22.19809,"Conservation biology of the last Italian population of Cistus laurifolius (Cistaceae): demographic structure, reproductive success and population genetics",OPENALEX:W2765209763,resolved_unique_work,CF01S0037,CF01S0037,1,no
CF01S0038,SF04:SF04R30,,Bupp et al. (2017) Conservation Genetics 18: 77-88,resolved,crossref_bibliographic_to_openalex_doi,W2510734141,10.1007/s10592-016-0883-9,Conservation implications of small population size and habitat fragmentation in an endangered lupine,OPENALEX:W2510734141,resolved_unique_work,CF01S0038,CF01S0038,1,no
CF01S0039,SF04:SF04R31,,Crichton et al. (2016) Conservation Genetics 17: 547-556,resolved,crossref_bibliographic_to_openalex_doi,W2286631273,10.1007/s10592-015-0803-4,Conservation genetics of the annual hemiparasitic plant Melampyrum sylvaticum (Orobanchaceae) in the UK and Scandinavia,OPENALEX:W2286631273,resolved_unique_work,CF01S0039,CF01S0039,1,no
CF01S0040,SF04:SF04R32,,Martínez-Natarén et al. (2017) Journal of Tropical Ecology 33: 285-294,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0040,unresolved_seed_identity,CF01S0040,CF01S0040,1,no
CF01S0041,SF04:SF04R33,,Shiga et al. (2017) Journal of Plant Research 130: 83-93,resolved,crossref_bibliographic_to_openalex_doi,W2549094718,10.1007/s10265-016-0869-1,"Genetic diversity and population structure of Nuphar submersa (Nymphaeaceae), a critically endangered aquatic plant endemic to Japan, and implications for its conservation",OPENALEX:W2549094718,resolved_unique_work,CF01S0041,CF01S0041,1,no
CF01S0042,SF04:SF04R34,,Stevens et al. (2015) New Zealand Journal of Ecology 39: 190-197,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0042,unresolved_seed_identity,CF01S0042,CF01S0042,1,no
CF01S0043,SF04:SF04R36,,White et al. (1999) Molecular Ecology 8: 1899-1909,resolved,crossref_bibliographic_to_openalex_doi,W2171431485,10.1046/j.1365-294x.1999.00790.x,Genetic variation within a fragmented population ofSwietenia humilisZucc.,OPENALEX:W2171431485,resolved_unique_work,CF01S0043,CF01S0043,1,no
CF01S0044,SF04:SF04R37,,Tunaitiene et al. (2017) Biochemical Systematics and Ecology 70: 294-303,resolved,crossref_bibliographic_to_openalex_doi,W2569572933,10.1016/j.bse.2016.12.015,Genetic and allelopathic differences between populations of daisy fleabane Erigeron annuus (L.) Pers. (Asteraceae) from disturbed and stable habitats,OPENALEX:W2569572933,resolved_unique_work,CF01S0044,CF01S0044,1,no
CF01S0045,SF04:SF04R38,,Heinicke et al. (2016) Flora 224: 42-49.,resolved,crossref_bibliographic_to_openalex_doi,W2428064621,10.1016/j.flora.2016.06.003,Fragmentation and environmental constraints influence genetic diversity and germination of Stipa pennata in natural steppes,OPENALEX:W2428064621,resolved_unique_work,CF01S0045,CF01S0045,1,no
CF01S0046,SF05:1,10.1093/aob/mcw246,"Beghé, D., Piotti, A., Satovic, Z., De La Rosa, R., Belaj, A., 2017. Pollen-mediated gene flow and fine-scale spatial genetic structure in Olea europaea subsp. europaea var. sylvestris. Ann. Bot. 119, 671–679. https://doi.org/10.1093/aob/mcw246",resolved,openalex_doi_exact,W2565566576,10.1093/aob/mcw246,Pollen-mediated gene flow and fine-scale spatial genetic structure inOlea europaeasubsp.europaeavar.sylvestris,OPENALEX:W2565566576,resolved_unique_work,CF01S0046,CF01S0046,1,no
CF01S0047,SF05:10,10.1016/j.foreco.2016.08.003,"Duminil, J., Mendene Abessolo, D.T., Ndiade Bourobou, D., Doucet, J.L., Loo, J., Hardy, O.J., 2016. High selfing rate, limited pollen dispersal and inbreeding depression in the emblematic African rain forest tree Baillonella toxisperma – Management implications. For. Ecol. Manage. 379, 20–29. https://doi.org/10.1016/j.foreco.2016.08.003",resolved,openalex_doi_exact,W2513966047,10.1016/j.foreco.2016.08.003,"High selfing rate, limited pollen dispersal and inbreeding depression in the emblematic African rain forest tree Baillonella toxisperma – Management implications",OPENALEX:W2513966047,resolved_unique_work,CF01S0047,CF01S0047,1,no
CF01S0048,SF05:11,10.1038/hdy.2015.101,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.101",resolved,openalex_doi_exact,W2217657620,10.1038/hdy.2015.101,"Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests",OPENALEX:W2217657620,resolved_unique_work,CF01S0048,CF01S0048,1,no
CF01S0049,SF05:13,10.1017/s0266467415000292,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292",resolved,openalex_doi_exact,W2279569832,10.1017/s0266467415000292,"Spatial genetic structure ofManilkara maxima(Sapotaceae), a tree species from the Brazilian Atlantic forest",OPENALEX:W2279569832,resolved_unique_work,CF01S0049,CF01S0049,1,no
CF01S0050,SF05:15,10.1111/j.1365-294x.2005.02785.x,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",resolved,openalex_doi_exact,W2135597298,10.1111/j.1365-294x.2005.02785.x,Fine‐scale genetic structure and gene dispersal inferences in 10 Neotropical tree species,OPENALEX:W2135597298,resolved_unique_work,CF01S0050,CF01S0050,1,no
CF01S0051,SF05:16,10.1371/journal.pone.0133581,"Heer, K., Kalko, E.K.V., Albrecht, L., García-Villacorta, R., Staeps, F.C., Herre, E.A., Dick, C.W., 2015. Spatial scales of genetic structure in free-standing and strangler figs (Ficus, Moraceae) inhabiting neotropical forests. PLoS One 10, 1–18. https://doi.org/10.1371/journal.pone.0133581",resolved,openalex_doi_exact,W1658079363,10.1371/journal.pone.0133581,"Spatial Scales of Genetic Structure in Free-Standing and Strangler Figs (Ficus, Moraceae) Inhabiting Neotropical Forests",OPENALEX:W1658079363,resolved_unique_work,CF01S0051,CF01S0051,1,no
CF01S0052,SF05:17,10.1038/hdy.2012.1,"Jump, A.S., Rico, L., Coll, M., Peñuelas, J., 2012. Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability. Heredity (Edinb). 108, 633–639. https://doi.org/10.1038/hdy.2012.1",resolved,openalex_doi_exact,W2066268835,10.1038/hdy.2012.1,Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability,OPENALEX:W2066268835,resolved_unique_work,CF01S0052,CF01S0052,1,no
CF01S0053,SF05:19,10.3732/ajb.0800266,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266",resolved,openalex_doi_exact,W2002820348,10.3732/ajb.0800266,"Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of West Africa",OPENALEX:W2002820348,resolved_unique_work,CF01S0053,CF01S0053,1,no
CF01S0054,SF05:2,10.1038/hdy.2014.40,"Berens, D.G., Braun, C., Gonzalez-Martinez, S.C., Griebeler, E.M., Nathan, R., Böhning-Gaese, K., 2014. Fine-scale spatial genetic dynamics over the life cycle of the tropical tree Prunus africana. Heredity (Edinb). 113, 401–407. https://doi.org/10.1038/hdy.2014.40",resolved,openalex_doi_exact,W2005975481,10.1038/hdy.2014.40,Fine-scale spatial genetic dynamics over the life cycle of the tropical tree Prunus africana,OPENALEX:W2005975481,resolved_unique_work,CF01S0054,CF01S0054,1,no
CF01S0055,SF05:20,10.1007/s11295-015-0885-7,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",resolved,openalex_doi_exact,W2204673490,10.1007/s11295-015-0885-7,Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa,OPENALEX:W2204673490,resolved_unique_work,CF01S0055,CF01S0055,1,no
CF01S0056,SF05:21,10.1007/s00606-014-1173-y,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",resolved,openalex_doi_exact,W2045239074,10.1007/s00606-014-1173-y,"Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis",OPENALEX:W2045239074,resolved_unique_work,CF01S0056,CF01S0056,1,no
CF01S0057,SF05:22,10.1007/s10682-010-9396-z,"Mizuki, I., Ishida, K., Tani, N., Tsumura, Y., 2010. Fine-scale spatial structure of genets and sexes in the dioecious plant Dioscorea japonica, which disperses by both bulbils and seeds. Evol. Ecol. 24, 1399–1415. https://doi.org/10.1007/s10682-010-9396-z.",resolved,openalex_doi_exact,W1970610753,10.1007/s10682-010-9396-z,"Fine-scale spatial structure of genets and sexes in the dioecious plant Dioscorea japonica, which disperses by both bulbils and seeds",OPENALEX:W1970610753,resolved_unique_work,CF01S0057,CF01S0057,1,no
CF01S0058,SF05:23,10.1007/s10265-009-0276-y,"Nakagawa, M., 2010. Fine-scale genetic structure within plots of Polygala reinii (Polygalaceae) having an ant-dispersal seed. J. Plant Res. 123, 355–362. https://doi.org/10.1007/s10265-009-0276-y",resolved,openalex_doi_exact,W1996648708,10.1007/s10265-009-0276-y,Fine-scale genetic structure within plots of Polygala reinii (Polygalaceae) having an ant-dispersal seed,OPENALEX:W1996648708,resolved_unique_work,CF01S0058,CF01S0058,1,no
CF01S0059,SF05:24,10.1111/j.1365-294x.2004.02373.x,"Oddou-Muratorio, S., Demesure-Musch, B., Pélissier, R., Gouyon, P.H., 2004. Impacts of gene flow and logging history on the local genetic structure of a scattered tree species, Sorbus torminalis L. Crantz. Mol. Ecol. 13, 3689–3702. https://doi.org/10.1111/j.1365-294X.2004.02373.x",resolved,openalex_doi_exact,W1542581194,10.1111/j.1365-294x.2004.02373.x,"Impacts of gene flow and logging history on the local genetic structure of a scattered tree species,Sorbus torminalisL. Crantz",OPENALEX:W1542581194,resolved_unique_work,CF01S0059,CF01S0059,1,no
CF01S0060,SF05:25,10.1016/j.foreco.2010.03.001,"Oddou-Muratorio, S., Bontemps, A., Klein, E.K., Chybicki, I., Vendramin, G.G., Suyama, Y., 2010. Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata. For. Ecol. Manage. 259, 2151–2159. https://doi.org/10.1016/j.foreco.2010.03.001",resolved,openalex_doi_exact,W2088266681,10.1016/j.foreco.2010.03.001,Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata,OPENALEX:W2088266681,resolved_unique_work,CF01S0060,CF01S0060,1,no
CF01S0061,SF05:27,10.1007/s10592-013-0451-5,"Sant’Anna, C.S., Sebbenn, A.M., Klabunde, G.H.F., Bittencourt, R., Nodari, R.O., Mantovani, A., dos Reis, M.S., 2013. Realized pollen and seed dispersal within a continuous population of the dioecious coniferous Brazilian pine [Araucaria angustifolia (Bertol.) Kuntze]. Conserv. Genet. 14, 601–613. https://doi.org/10.1007/s10592-013-0451-5",resolved,openalex_doi_exact,W2058651270,10.1007/s10592-013-0451-5,Realized pollen and seed dispersal within a continuous population of the dioecious coniferous Brazilian pine [Araucaria angustifolia (Bertol.) Kuntze],OPENALEX:W2058651270,resolved_unique_work,CF01S0061,CF01S0061,1,no
CF01S0062,SF05:28,10.1016/j.gecco.2014.07.002,"Schroeder, J.W., Tran, H.T., Dick, C.W., 2014. Fine scale spatial genetic structure in Pouteria reticulata (Engl.) Eyma (Sapotaceae), a dioecious, vertebrate dispersed tropical rain forest tree species. Glob. Ecol. Conserv. 1, 43–49. https://doi.org/10.1016/j.gecco.2014.07.002",resolved,openalex_doi_exact,W1969388242,10.1016/j.gecco.2014.07.002,"Fine scale spatial genetic structure in Pouteria reticulata (Engl.) Eyma (Sapotaceae), a dioecious, vertebrate dispersed tropical rain forest tree species",OPENALEX:W1969388242,resolved_unique_work,CF01S0062,CF01S0062,1,no
CF01S0063,SF05:29,10.1038/sj.hdy.6801007,"Soto, A., Lorenzo, Z., Gil, L., 2007. Differences in fine-scale genetic structure and dispersal in Quercus ilex L. and Q. suber L.: Consequences for regeneration of mediterranean open woods. Heredity (Edinb). 99, 601–607. https://doi.org/10.1038/sj.hdy.6801007",resolved,openalex_doi_exact,W2002483538,10.1038/sj.hdy.6801007,Differences in fine-scale genetic structure and dispersal in Quercus ilex L. and Q. suber L.: consequences for regeneration of mediterranean open woods,OPENALEX:W2002483538,resolved_unique_work,CF01S0063,CF01S0063,1,no
CF01S0064,SF05:30,10.3732/ajb.1300460,"Theim, T.J., Shirk, R.Y., Givnish, T.J., 2014. Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity. Am. J. Bot. 101, 1189–1199. https://doi.org/10.3732/ajb.1300460",resolved,openalex_doi_exact,W2033322335,10.3732/ajb.1300460,Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity,OPENALEX:W2033322335,resolved_duplicate_work,CF01S0064,CF01S0064;CF01S0065,2,no
CF01S0065,SF05:31,10.3732/ajb.1300460,"Theim, T.J., Shirk, R.Y., Givnish, T.J., 2014. Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity. Am. J. Bot. 101, 1189–1199. https://doi.org/10.3732/ajb.1300460",resolved,openalex_doi_exact,W2033322335,10.3732/ajb.1300460,Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity,OPENALEX:W2033322335,resolved_duplicate_work,CF01S0064,CF01S0064;CF01S0065,2,no
CF01S0066,SF05:32,10.1111/j.1365-294x.2011.05293.x,"Wang, R., Compton, S.G., Chen, X.Y., 2011. Fragmentation can increase spatial genetic structure without decreasing pollen-mediated gene flow in a wind-pollinated tree. Mol. Ecol. 20, 4421–4432. https://doi.org/10.1111/j.1365-294X.2011.05293.x",resolved,openalex_doi_exact,W2129818408,10.1111/j.1365-294x.2011.05293.x,Fragmentation can increase spatial genetic structure without decreasing pollen-mediated gene flow in a wind-pollinated tree,OPENALEX:W2129818408,resolved_unique_work,CF01S0066,CF01S0066,1,no
