queue_id,canonical_identity_key,citation,doi,species,screen_wave,screen_basis,fragmentation_exposure_frame,independent_unit_frame,IF_common_frame_status,screen_decision,decision_reason,next_action,outcome_opened,outcome_blind_confirmation
IFQ011,SF06:SF06P067,Duffy et al. 2013,10.1111/1365-2745.12104,Kniphofia linearifolia,2,title_abstract_methods_only,"populations span size density and isolation; aggregation is the focal predictor","population","pollinator observations and fecundity share populations but not a source-defined direct fragmentation treatment",closed_no_source_defined_fragmentation_contrast,"The source explicitly tests Allee effects using population size, density and isolation. Those continuous aggregation predictors cannot be recoded after inspection into a direct fragmented/reference contrast.","retain as aggregation/moderator evidence; do not enter direct I-F pair coverage",no,yes
IFQ012,SF06:SF06P068,Ehlers 1999,10.1111/j.1756-1051.1999.tb00675.x,Centaurea scabiosa,2,title_abstract_methods_only,"11 natural populations varying in population size","population","visitation and fruit set are population-level but the source tests natural population variation rather than fragmentation treatment",closed_no_source_defined_fragmentation_contrast,"The paper studies fruit set and pollination across 11 natural populations and tests population-size relationships. Fragmentation is not the source-defined exposure for these response estimates.","retain as natural population-size evidence only",no,yes
IFQ013,SF06:SF06P071,Favarin et al. 2022,10.1016/j.flora.2022.152165,Limonium narbonense,2,title_abstract_methods_only,"60 permanent saltmarsh plots spanning distance from mainland and floral abundance; isolation is continuous","plot","visitation and fruit set share the plot system but are modeled against continuous distance/isolation rather than a binary source-defined fragmentation contrast",closed_gradient_only_no_reference,"The study provides a strong same-plot process-function gradient, but the registered direct I-F family cannot manufacture a binary fragmented/reference contrast from distance to mainland.","retain in gradient/generalisation stream; preserve plot identity for possible Fisher-z analysis",no,yes
IFQ014,SF06:SF06P079,Garcia & Chacoff 2007,10.1111/j.1523-1739.2006.00593.x,Crataegus monogyna,2,title_abstract_methods_only,"60 focal trees measured against percent forest cover at three spatial scales","tree nested in continuous landscape-cover gradients","pollination and fruit set share focal trees but fragmentation is represented as continuous forest cover at multiple scales",closed_gradient_only_no_reference,"The source quantifies structural fragmentation continuously around 60 trees and does not define a direct fragmented/reference treatment. Choosing a cutoff would be post-outcome recoding.","retain as multiscale gradient/generalisation evidence",no,yes
IFQ015,SF06:SF06P086,Gonzalez-Varo et al. 2009,10.1016/j.biocon.2009.01.017,Myrtus communis,2,title_abstract_methods_only,"six source-defined populations: three Large patches >90 ha and three Small patches <30 ha in the same fragmented landscape","forest patch/population","pollinator assemblage/visitation and reproductive success are measured on the same six populations",advance_full_text_quantitative_screen,"The paper prospectively defines three Large and three Small patch/population units and measures pollinator visitation plus fruit/seed production on that common frame. This is a direct replicated I-F candidate.","recover population-level I and F endpoints and between-population dispersion; reconstruct paired dependence on the same six populations before effect calculation",no,yes
IFQ016,SF06:SF06P089,Hadley et al. 2014,10.1890/13-0929.1,Heliconia tortuosa,2,title_abstract_methods_only,"large-scale mensurative design independently varying connected patch size and surrounding forest amount","site/plant observations embedded in continuous configuration and composition gradients","pollination and reproductive success share the landscape experiment but no source-defined binary fragmented/reference contrast is primary",closed_gradient_only_no_reference,"The study is valuable for separating landscape composition from configuration, but its primary estimands are continuous fragmentation components. A binary direct contrast would require an arbitrary cutoff.","retain as high-value continuous fragmentation gradient evidence",no,yes
IFQ017,SF06:SF06P091,Hauber et al. 2022,10.1016/j.sajb.2021.09.027,Trichodiadema strumosum,3,title_abstract_methods_only,"one small fragment and one medium fragment compared with one mainland site","study_site","I and F are measured at the same three sites but the reference category contains only one independent mainland site",closed_single_reference_unit,"The source design has two fragmented sites and one mainland reference for T. strumosum. A single reference site cannot supply independent reference-group dispersion for a direct Hedges-g fragmentation contrast.","retain as site-level mechanistic evidence; do not promote flowers/plants within the mainland site to independent reference landscapes",no,yes
IFQ018,SF06:SF06P092,Hendrix & Kyhl 2000,10.1046/j.1523-1739.2000.98253.x,Phlox pilosa,3,title_abstract_methods_only,"27 populations spanning local abundance/population size","population","pollinator service and reproductive success share populations but the focal source predictor is population size",closed_no_source_defined_fragmentation_contrast,"The source tests population-size effects on pollination and reproduction across 27 populations. It does not define a fragmented-versus-reference exposure for the direct I-F family.","retain as population-size/Allee context; do not derive a post hoc fragmentation threshold",no,yes
IFQ019,SF06:SF06P110,Johnson et al. 2009,10.1098/rsbl.2008.0702,Satyrium longicauda,3,title_abstract_methods_only,"36 populations spanning population size density and isolation","population","I and F share populations but fragmentation components are continuous population attributes rather than a source-defined binary treatment",closed_gradient_only_no_reference,"The study evaluates population size, density and isolation across 36 populations. It supplies valuable fragmentation-component gradients but no declared direct fragmented/reference contrast.","retain in gradient/generalisation and moderator lanes",no,yes
IFQ020,SF06:SF06P125,Kolb 2008,10.1016/j.biocon.2008.07.015,Phyteuma spicatum,3,title_abstract_methods_only,"common-source experiment factorially manipulates population size (large/small) and isolation (non-isolated/isolated)","experimental_population","pollinator visitation and reproductive success are measured on the same manipulated population units",advance_full_text_quantitative_screen,"The source deliberately manipulates two canonical fragmentation components on a common-source experimental population frame and measures I and F jointly. A factor-specific direct contrast can be defensible if replicate counts and population-level endpoint dispersion are recovered before calculation.","recover the full 2x2 experimental-cell replication and predeclare the population-size and isolation contrasts without choosing between them by outcome",no,yes
IFQ021,SF06:SF06P128,Kunin 1997,10.2307/2960653,Brassica kaber / Sinapis arvensis,3,title_abstract_methods_only,"experimental arrays manipulate local population size and density","experimental_array","pollinator foraging and reproductive success share arrays but the source exposure is local abundance/density rather than habitat fragmentation",closed_no_source_defined_fragmentation_contrast,"The experiment separates population size and density effects in artificial plant arrays. This is an interaction/Allee mechanism study, not a source-defined habitat-fragmentation treatment.","retain as mechanistic population-size/density evidence; do not relabel arrays as fragmented landscapes",no,yes
IFQ022,SF06:SF06P139,Lopes & Buzato 2007,10.1007/s00442-007-0830-z,Psychotria suterella,3,title_abstract_methods_only,"three source-defined fragmentation categories: non-fragmented habitats, corridor-connected fragments and isolated fragments across ten sites","study_site","floral visitors/pollination and reproductive output are evaluated on the same fragmentation-category site network",advance_full_text_quantitative_screen,"The source directly compares three fragmentation categories over ten sites and measures both interaction/pollination and reproductive output. Exact category replication and a prespecified binary or ordered contrast must be recovered before effect calculation.","recover site allocation among the three categories and lock a source-faithful contrast/dependence rule before opening numerical endpoints",no,yes
IFQ023,SF06:SF06P143,Magrach et al. 2013,10.1111/1365-2745.12083,Tristerix corymbosus,3,title_abstract_methods_only,"individual plants distributed along distance-to-edge gradients within one 433-ha old-growth forest fragment","plant_nested_within_one_fragment","pollinator visits and fruit set share plants but the exposure is continuous edge distance inside a single fragment",closed_gradient_only_no_reference,"The source quantifies edge distance within one forest fragment. Individual plants cannot become independent fragmentation landscapes and there is no replicated fragment/reference design.","retain as edge-gradient/generalisation evidence",no,yes
IFQ024,SF06:SF06P177,Pierce et al. 2018,10.1007/s10531-017-1470-1,Gentiana pneumonanthe,3,title_abstract_methods_only,"18 populations span small fragments to extensive well-preserved areas; fragmentation index and population size are continuous","population","pollination/fertilization/germination share populations but the source analyzes demographic and fragmentation continua/thresholds rather than a declared binary habitat contrast",closed_gradient_only_no_reference,"The study is designed to estimate reproductive thresholds across continuous population size and fragmentation measures. A direct binary fragmented/reference contrast would require a post hoc cutoff.","retain as gradient/threshold evidence and moderator context",no,yes
IFQ025,SF06:SF06P221,van Kleunen & Johnson 2005,10.3732/ajb.92.7.1124,Senna didymobotrya,4,title_abstract_methods_only,"invasive populations spanning population size; Allee-effect study","population","pollen receipt and fruit set are population responses but the focal source predictor is population size",closed_no_source_defined_fragmentation_contrast,"The study tests ecological/genetic Allee effects across invasive populations and relates pollen receipt and fruit set to population size. Habitat fragmentation is context, not the source-defined treatment.","retain as population-size/Allee mechanism evidence; do not relabel population size as fragmentation",no,yes
IFQ026,SF06:SF06P229,Wagenius & Lyon 2010,10.1890/08-1375.1,Echinacea angustifolia,4,title_abstract_methods_only,"extremely fragmented prairie; individual isolation and population size are continuous source predictors","individual_and_population","pollinator visitation and pollen limitation/seed set share sampled plants but are analyzed against continuous isolation and population size",closed_gradient_only_no_reference,"The paper investigates whether pollinator visitation explains pollen limitation across individual isolation and population size gradients. It does not define a replicated binary fragmented/reference habitat contrast.","retain as high-value fragmentation-gradient/process evidence",no,yes
IFQ027,SF06:SF06P230,Wagenius 2006,10.1890/0012-9658(2006)87[931:SDORFI]2.0.CO;2,Echinacea angustifolia,4,title_abstract_methods_only,"fragmented prairie; local isolation/density and population size quantified continuously over three years","individual_and_population","pollination limitation and reproductive failure share spatial units but exposure is continuous scarcity/isolation at multiple scales",closed_gradient_only_no_reference,"The source explicitly asks how reproductive failure scales with local abundance/isolation. There is no declared fragmented/reference habitat grouping suitable for the direct Hedges-g pair.","retain as multi-scale fragmentation-gradient evidence",no,yes
IFQ028,SF06:SF06P241,Woods et al. 2022,10.1007/s10980-022-01407-x,Heliconia tortuosa,4,title_abstract_methods_only,"40 focal-patch landscapes spanning continuous forest amount and patch-size gradients over nine years","focal_patch_landscape","pollination and reproduction share landscapes but fragmentation is modeled continuously as landscape composition/configuration",closed_gradient_only_no_reference,"The study is a strong mensurative landscape-gradient design, not a source-defined binary habitat contrast. Choosing a patch-size or forest-amount cutoff would be post hoc.","retain in gradient/generalisation and moderator streams",no,yes
IFQ029,SF06:SF06P242,Yates & Ladd 2004,10.1111/j.1442-9993.2004.01336.x,Verticordia staminosa,4,title_abstract_methods_only,"discrete subpopulations occur on one isolated granite rock outcrop within one remnant vegetation landscape","subpopulation_nested_within_one_landscape","pollination/demography are studied within one isolated remnant; no replicated fragmented/reference landscapes",closed_single_fragmented_landscape_no_reference,"The source is a breeding/pollination/demography study of a rare shrub confined to one isolated outcrop. Subpopulations cannot be promoted to independent fragmentation landscapes.","retain as reproductive-biology and rarity context only",no,yes
IFQ030,SF06:SF06P244,Yates et al. 2007,10.1007/s10531-006-6736-y,Calothamnus quadrifidus / Melaleuca quadrifida,4,title_abstract_methods_only,"range of population fragments varying in size and isolation in a fragmented agricultural landscape","population_fragment","pollinator community/pollination share fragments; source analyzes fragment size/isolation rather than a continuous-forest reference contrast",closed_gradient_only_no_reference,"The study is explicitly about pollination across population fragments, but all focal units are fragments and the primary design asks how fragment size/isolation structure responses. No unfragmented reference is defined for the direct pair.","retain as fragmentation-component gradient evidence; preserve source taxonomic naming provenance",no,yes
IFQ031,SF06:SF06P248,Young & Pickup 2010,10.1111/j.1365-2664.2010.01798.x,Rutidosis leptorrhynchoides,4,title_abstract_methods_only,"seven remnant populations spanning 5 to 100000 plants; small/large population consequences are the focal source design","population","pollen deposition and seed set share populations but the predictor is population size/S-allele availability rather than habitat-fragmentation treatment",closed_no_source_defined_fragmentation_contrast,"The study directly links population size, S-allele diversity, pollinator service and reproductive output, but it does not define fragmentation exposure independently of population size. This is a mechanism/Allee-genetic study rather than a direct habitat contrast.","retain as mechanistic genetic-reproductive evidence and possible moderator context",no,yes
IFQ032,SF06:SF06P250,Zhang & Lou 2015,10.1093/jpe/rtv013,Solanum rostratum,4,title_abstract_methods_only,"six invasive populations spanning population size and density","population","F/pollen-limitation responses cover six populations but floral visitors are recorded only in two populations; no common six-population I-F frame",closed_no_common_IF_frame_and_no_fragmentation_contrast,"The source tests pollen limitation against invasive population size. Pollinator observations are available only for two of six populations, so I and F do not share the full exposure frame; population size is also not a source-defined habitat-fragmentation treatment.","retain as pollen-limitation/population-size evidence only",no,yes
