programme_id,phytometer,garden_id,Urban_500,I_all_pollinator_capture_rate_per_9h,F_endpoint,F_value,F_n_lower_rows,F_success_sum,F_total_sum,independent_unit,source_exclusion_status
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,7,0.6705,0,fruit_set,0.306382978723,2,72,235,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,8,0.4281,1.44,fruit_set,0.301587301587,5,114,378,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,11,0.4344,0.333333333333,fruit_set,0.159487776484,4,137,859,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,17,0.2096,1.03846153846,fruit_set,0.14367816092,4,100,696,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,25,0.2954,0.747404844291,fruit_set,0.162839248434,4,78,479,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,27,0.8108,0.6,fruit_set,0.0843373493976,3,35,415,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,30,0.7156,0.971223021583,fruit_set,0.344262295082,2,126,366,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,40,0.5337,1.78021978022,fruit_set,0.129476584022,2,47,363,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,41,0.4302,0.650602409639,fruit_set,0.186688311688,4,115,616,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,47,0.4719,2.24066390041,fruit_set,0.332730560579,3,184,553,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,48,0.7207,0.214285714286,fruit_set,0.106194690265,2,24,226,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,53,0.8176,0.333333333333,fruit_set,0.16,3,28,175,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,56,0.2487,0.376306620209,fruit_set,0.10766721044,3,66,613,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,59,0.4409,1.29341317365,fruit_set,0.165048543689,5,68,412,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,71,0.2147,1.14084507042,fruit_set,0.0707269155206,3,36,509,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,73,0.6968,0.25,fruit_set,0.0387596899225,2,5,129,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,83,0.3687,1.4,fruit_set,0.197530864198,2,48,243,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,84,0.2562,0,fruit_set,0.0579710144928,2,12,207,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,85,0.2156,1.01886792453,fruit_set,0.222988505747,4,194,870,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,2,0.3929,1.52830188679,fruit_set,0.556097560976,6,228,410,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,7,0.6705,2.34782608696,fruit_set,0.450549450549,5,246,546,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,8,0.4281,1.25581395349,fruit_set,0.395437262357,7,208,526,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,11,0.4344,1.16666666667,fruit_set,0.336774193548,10,261,775,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,17,0.2096,3.14563106796,fruit_set,0.678391959799,6,270,398,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,19,0.8124,2.95081967213,fruit_set,0.404109589041,9,354,876,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,25,0.2954,1.90029325513,fruit_set,0.403718459495,8,304,753,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,27,0.8108,1,fruit_set,0.085020242915,7,42,494,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,28,0.6129,1.6,fruit_set,0.651666666667,5,391,600,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,30,0.7156,3.34710743802,fruit_set,0.495159059474,10,358,723,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,40,0.5337,1.30344827586,fruit_set,0.369987063389,6,286,773,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,41,0.4302,2.38554216867,fruit_set,0.610208816705,6,263,431,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,47,0.4719,3.13692946058,fruit_set,0.669039145907,6,376,562,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,48,0.7207,0.794117647059,fruit_set,0.219239373602,7,98,447,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,52,0.4968,3.44295302013,fruit_set,0.498050682261,8,511,1026,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,53,0.8176,2.28571428571,fruit_set,0.376766091052,6,240,637,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,56,0.2487,6.912,fruit_set,0.544578313253,3,226,415,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,59,0.4409,2.26347305389,fruit_set,0.318777292576,7,219,687,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,71,0.2147,5.70422535211,fruit_set,0.401219512195,7,329,820,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,73,0.6968,0.666666666667,fruit_set,0.16835016835,10,100,594,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,83,0.3687,1.25,fruit_set,0.412234042553,5,155,376,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,84,0.2562,5.26271186441,fruit_set,0.570397111913,6,316,554,garden,included_common_frame
P2_CF01_ZURICH_2026,Symphytum_officinale,85,0.2156,1.35,fruit_set,0.573248407643,7,270,471,garden,included_common_frame
