ID,Citation,Reference
P32-Sp1,Wang et al. 2011,"Wang, R., Compton, S.G., Chen, X.Y., 2011. Fragmentation can increase spatial genetic structure without decreasing pollen-mediated gene flow in a wind-pollinated tree. Mol. Ecol. 20, 4421–4432. https://doi.org/10.1111/j.1365-294X.2011.05293.x"
P42-Sp1,Van Rossum & Triest 2003,"Van Rossum, F., Triest, L., 2003. Spatial genetic structure and reproductive success in fragmented and continuous populations of Primula vulgaris. Folia Geobot. 38, 239–254."
P44-Sp1,Van Rossum & Triest 2007,"Van Rossum, F., Triest, L., 2007. Fine-scale spatial genetic structure of the distylous Primula veris in fragmented habitats. Plant Biol. 9, 374–382. https://doi.org/10.1055/s-2006-924632"
P46-Sp1,Born et al. 2008,"Born, C., Hardy, O.J., Chevallier, M.H., Ossari, S., Attéké, C., Wickings, E.J., Hossaert-Mckey, M., 2008. Small-scale spatial genetic structure in the Central African rainforest tree species Aucoumea klaineana: A stepwise approach to infer the impact of limited gene dispersal, population history and habitat fragmentation. Mol. Ecol. 17, 2041–2050. https://doi.org/10.1111/j.1365-294X.2007.03685.x"
P4-Sp1,Bizoux et al. 2009,"Bizoux, J.P., Daïnou, K., Bourland, N., Hardy, O.J., Heuertz, M., Mahy, G., Doucet, J.L., 2009. Spatial genetic structure in Milicia excelsa (Moraceae) indicates extensive gene dispersal in a low-density wind-pollinated tropical tree. Mol. Ecol. 18, 4398–4408. https://doi.org/10.1111/j.1365-294X.2009.04365.x"
P54-Sp1,Budde et al. 2017,"Budde, K. B., González-Martínez, S. C., Navascués, M., Burgarella, C., Mosca, E., Lorenzo, Z., Zabal-Aguirre, M., Vendramin, G. G., Verdú, M., Pausas, J. G., & Heuertz, M. (2017). Increased fire frequency promotes stronger spatial genetic structure and natural selection at regional and local scales in Pinus halepensis Mill. Annals of Botany, 119(6), 1061–1072. https://doi.org/10.1093/aob/mcw286"
P57-Sp1,Castilla et al. 2019,"Castilla, A. R., Garrote, P. J., Żywiec, M., Calvo, G., Suárez-Esteban, A., Delibes, M., Godoy, J. A., Picó, F. X., & Fedriani, J. M. (2019). Genetic rescue by distant trees mitigates qualitative pollen limitation imposed by fine-scale spatial genetic structure. Molecular Ecology, 28(19), 4363–4374. https://doi.org/10.1111/mec.15233"
P64-Sp1,Jacquemyn et al. 2006,"Jacquemyn, H., Brys, R., Vandepitte, K., Honnay, O., Roldán-Ruiz, I., 2006. Fine-scale genetic structure of life history stages in the food-deceptive orchid Orchis purpurea. Mol. Ecol. 15, 2801–2808. https://doi.org/10.1111/j.1365-294X.2006.02978.x"
P65-Sp1,Jacquemyn et al. 2009,"Jacquemyn, H., Wiegand, T., Vandepitte, K., Brys, R., Roldán-Ruiz, I., Honnay, O., 2009. Multigenerational analysis of spatial structure in the terrestrial, food-deceptive orchid Orchis mascula. J. Ecol. 97, 206–216. https://doi.org/10.1111/j.1365-2745.2008.01464.x"
P73-Sp1,Dering et al. 2018,"Dering, M., Sękiewicz, K., Iszkuło, G., Chojnacka, A., Tomaszewski, D., Pers-Kamczyc, E., Karolewski, P., 2018. Spatial genetic structure and clonal structure of Prunus serotina during invasive spread. Silva Fenn. 52, 1–21. https://doi.org/10.14214/sf.9987"
P75-Sp1,Giombini et al. 2017,"Giombini, M.I., Bravo, S.P., Sica, Y. V., Tosto, D.S., 2017. Early genetic consequences of defaunation in a large-seeded vertebrate-dispersed palm (Syagrus romanzoffiana). Heredity (Edinb). 118, 568–577. https://doi.org/10.1038/hdy.2016.130"
P77-Sp1,Pandey & Rajora 2012,"Pandey, M., Rajora, O.P., 2012. Higher fine-scale genetic structure in peripheral than in core populations of a long-lived and mixed-mating conifer - Eastern white cedar (Thuja occidentalis L.). BMC Evol. Biol. 12. https://doi.org/10.1186/1471-2148-12-48"
P79-Sp1,Pometti et al. 2018,"Pometti, C., Bessega, C., Cialdella, A., Ewens, M., Saidman, B., Vilardi, J., 2018. Spatial genetic structure within populations and management implications of the South American species Acacia aroma (Fabaceae). PLoS One 13, 1–14. https://doi.org/10.1371/journal.pone.0192107"
P80-Sp1,Vaughan et al. 2007,"Vaughan, S.P., Cottrell, J.E., Moodley, D.J., Connolly, T., Russell, K., 2007. Distribution and fine-scale spatial-genetic structure in British wild cherry (Prunus avium L.). Heredity (Edinb). 98, 274–283. https://doi.org/10.1038/sj.hdy.6800935"
P81-Sp1,Zhao et al 2009,"Zhao, R., Xia, H., Lu, B.R., 2009. Fine-scale genetic structure enhances biparental inbreeding by promoting mating events between more related individuals in wild soybean (Glycine soja; Fabaceae) populations. Am. J. Bot. 96, 1138–1147. https://doi.org/10.3732/ajb.0800173"
P82-Sp1,Morgan et al. 2017,"Morgan, E.J., Kaiser-Bunbury, C.N., Edwards, P.J., Fleischer-Dogley, F., Kettle, C.J., 2017. Keeping it in the family: strong fine-scale genetic structure and inbreeding in Lodoicea maldivica, the largest-seeded plant in the world. Conserv. Genet. 18, 1317–1329. https://doi.org/10.1007/s10592-017-0982-2"
P86-Sp1,Raabova et al. 2015,"Raabová, J., Van Rossum, F., Jacquemart, A.L., Raspé, O., 2015. Population size affects genetic diversity and fine-scale spatial genetic structure in the clonal distylous herb Menyanthes trifoliata. Perspect. Plant Ecol. Evol. Syst. 17, 193–200. https://doi.org/10.1016/j.ppees.2015.02.005"
P91-Sp1,Vandepitte et al. 2009,"Vandepitte, K., Roldán-Ruiz, I., Leus, L., Jacquemyn, H., Honnay, O., 2009. Canopy closure shapes clonal diversity and fine-scale genetic structure in the dioecious understorey perennial Mercurialis perennis. J. Ecol. 97, 404–414. https://doi.org/10.1111/j.1365-2745.2009.01484.x"
P92-Sp1,Jin et al. 2006,"Jin, Y., He, T., Lu, B.R., 2006. Genetic spatial clustering: Significant implications for conservation of wild soybean (Glycine soja: Fabaceae). Genetica 128, 41–49. https://doi.org/10.1007/s10709-005-4823-8"
P93-Sp1,Lompo et al. 2020,"Lompo, D., Vinceti, B., Konrad, H., Duminil, J., Geburek, T., 2020. Fine-scale spatial genetic structure, mating, and gene dispersal patterns in Parkia biglobosa populations with different levels of habitat fragmentation. Appl. Plant Sci. 107, 1041–1053. https://doi.org/10.1002/ajb2.1504"
P9-Sp1,Dodd et al. 2013,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080"
