canonical_identity_key,source_frames,source_ids,citation,species,metadata_layers,sf06_responses,land_use_factors,sf05_title_method_hints,existing_egwee_programmes,screen_class,screen_action,screening_status,outcome_opened
SF05:32,SF05,SF05:32,"Wang, R., Compton, S.G., Chen, X.Y., 2011. Fragmentation can increase spatial genetic structure without decreasing pollen-mediated gene flow in a wind-pollinated tree. Mol. Ecol. 20, 4421–4432. https://doi.org/10.1111/j.1365-294X.2011.05293.x",Castanopsis sclerophylla,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:4,SF05,SF05:4,"Bizoux, J.P., Daïnou, K., Bourland, N., Hardy, O.J., Heuertz, M., Mahy, G., Doucet, J.L., 2009. Spatial genetic structure in Milicia excelsa (Moraceae) indicates extensive gene dispersal in a low-density wind-pollinated tropical tree. Mol. Ecol. 18, 4398–4408. https://doi.org/10.1111/j.1365-294X.2009.04365.x",Milicia excelsa,C;D;G_adult,,,C_screen;D_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:42,SF05,SF05:42,"Van Rossum, F., Triest, L., 2003. Spatial Genetic Structure and Reproductive Success in Fragmented and Continuous Populations of Primula vulgaris. Folia Geobot. 38, 239–254.",Primula vulgaris,F;G_adult,,,F_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:44,SF05,SF05:44,"Van Rossum, F., Triest, L., 2007. Fine-scale spatial genetic structure of the distylous Primula veris in fragmented habitats. Plant Biol. 9, 374–382. https://doi.org/10.1055/s-2006-924632",Primula veris,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:46,SF05,SF05:46,"Born, C., Hardy, O.J., Chevallier, M.H., Ossari, S., Attéké, C., Wickings, E.J., Hossaert-Mckey, M., 2008. Small-scale spatial genetic structure in the Central African rainforest tree species Aucoumea klaineana: A stepwise approach to infer the impact of limited gene dispersal, population history and habitat fragmentation. Mol. Ecol. 17, 2041–2050. https://doi.org/10.1111/j.1365-294X.2007.03685.x",Aucoumea klaineana,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:48,SF05,SF05:48,"Aizawa, M., Nakayama, C., Ohkubo, T., 2016. Comparison of fine-scale spatial genetic structure of two sympatric Rhododendron shrub species in forest habitat having different seed weights: A case study. Silvae Genet. 65, 39–45. https://doi.org/10.1515/sg-2016-0015",Rhododendron kaempferi; Rhodondendron semibarbatum,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:49,SF05,SF05:49,"Albaladejo, R.G., Guzmán, B., González-Martínez, S.C., Aparicio, A., 2012. Extensive pollen flow but few pollen donors and high reproductive variance in an extremely fragmented landscape. PLoS One 7, 1–9. https://doi.org/10.1371/journal.pone.0049012",Pistacia lentiscus,C;G_adult,,,C_screen;G_adult_FSGS,ML009_PS013,existing_egwee_programme,do_not_recruit_as_new,linked_existing_no_new_recruitment,no
SF05:51,SF05,SF05:51,"Araújo, M.R.G., Melo Júnior, A.F. de, Menezes, E.V., Brandão, M.M., Cota, L.G., Oliveira, D.A. de, Royo, V. de A., Vieira, F.A., 2017. Fine-scale spatial genetic structure and gene flow in Acrocomia aculeata (Arecaceae): Analysis in an overlapping generation. Biochem. Syst. Ecol. 71, 147–154. https://doi.org/10.1016/j.bse.2017.02.005",Acrocomia aculeata,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:52,SF05,SF05:52,"Bessega, C., Pometti, C.L., Ewens, M., Saidman, B.O., Vilardi, J.C., 2016. Fine-scale spatial genetic structure analysis in two Argentine populations of Prosopis alba (Mimosoideae) with different levels of ecological disturbance. Eur. J. For. Res. 135, 495–505. https://doi.org/10.1007/s10342-016-0948-9",Prosopis alba,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:54,SF05,SF05:54,"Budde, K.B., González-Martínez, S.C., Navascués, M., Burgarella, C., Mosca, E., Lorenzo, Z., Zabal-Aguirre, M., Vendramin, G.G., Verdú, M., Pausas, J.G., Heuertz, M., 2017. Increased fire frequency promotes stronger spatial genetic structure and natural selection at regional and local scales in Pinus halepensis Mill. Ann. Bot. 119, 1061–1072. https://doi.org/10.1093/aob/mcw286",Pinus halepensis,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:56,SF05,SF05:56,"Buzatti, R.S. de O., Ribeiro, R.A., Filho, J.P. de L., Lovato, M.B., 2012. Fine-scale spatial genetic structure of Dalbergia nigra (Fabaceae), a threatened and endemic tree of the Brazilian Atlantic Forest. Genet. Mol. Biol. 35, 838–846. https://doi.org/10.1590/S1415-47572012005000066",Dalbergia nigra,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:57,SF05,SF05:57,"Castilla, A.R., Garrote, P.J., ?ywiec, M., Calvo, G., Suárez-Esteban, A., Delibes, M., Godoy, J.A., Picó, F.X., Fedriani, J.M., 2019. Genetic rescue by distant trees mitigates qualitative pollen limitation imposed by fine-scale spatial genetic structure. Mol. Ecol. 28, 4363–4374. https://doi.org/10.1111/mec.15233",Pyrus bourgaeana,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:64,SF05,SF05:64,"Jacquemyn, H., Brys, R., Vandepitte, K., Honnay, O., Roldán-Ruiz, I., 2006. Fine-scale genetic structure of life history stages in the food-deceptive orchid Orchis purpurea. Mol. Ecol. 15, 2801–2808. https://doi.org/10.1111/j.1365-294X.2006.02978.x",Orchis purpurea,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:65,SF05,SF05:65,"Jacquemyn, H., Wiegand, T., Vandepitte, K., Brys, R., Roldán-Ruiz, I., Honnay, O., 2009. Multigenerational analysis of spatial structure in the terrestrial, food-deceptive orchid Orchis mascula. J. Ecol. 97, 206–216. https://doi.org/10.1111/j.1365-2745.2008.01464.x",Orchis mascula,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:66,SF05,SF05:66,"Jin, Z., Li, J., Liu, L., 2012. Fine-scale spatial genetic structure within age classes of the two fragmented populations of Sinocalycanthus chinensis Cheng et S.Y. Chang, an endangered plant species endemic to China. Biochem. Syst. Ecol. 43, 117–124. https://doi.org/10.1016/j.bse.2012.02.023.",Sinocalucanthus chinensis,G_adult;G_offspring,,,G_adult_FSGS;G_offspring_screen,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:67,SF05,SF05:67,"Yamagishi, H., Tomimatsu, H., Ohara, M., 2007. Fine-scale spatial genetic structure within continuous and fragmented populations of Trillium camschatcense. J. Hered. 98, 367–372. https://doi.org/10.1093/jhered/esm040",Trillium camschatcense,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:68,SF05,SF05:68,"Yao, X., Zhang, J., Ye, Q., Huang, H., 2011. Fine-scale spatial genetic structure and gene flow in a small, fragmented population of Sinojackia rehderiana (Styracaceae), an endangered tree species endemic to China. Plant Biol. 13, 401–410. https://doi.org/10.1111/j.1438-8677.2010.00361.x",Sinojackia rehderiana,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:69,SF05,SF05:69,"Chung, M.Y., Nason, J.D., Chung, M.G., 2007. Effects of population succession on demographic and genetic processes: Predictions and tests in the daylily Hemerocallis thunbergii (Liliaceae). Mol. Ecol. 16, 2816–2829. https://doi.org/10.1111/j.1365-294X.2007.03361.x",Hemerocallis thunbergii,D;G_adult,,,D_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:70,SF05,SF05:70,"Chybicki, I.J., Trojankiewicz, M., Oleksa, A., Dzialuk, A., Burczyk, J., 2009. Isolation-by-distance within naturally established populations of European beech (Fagus sylvatica). Botany 87, 791–798. https://doi.org/10.1139/B09-049.",Fagus sylvatica,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
