source_frame,source_paper_id,citation,year,first_author,reference,doi,species,n_species,n_population_rows,source_selected_systematic_review_65,source_meta_analysis_31,source_meta_flag_raw,source_outcome_filter_status,existing_egwee_study_ids,countries,biomes,life_forms,life_cycles,mating_systems,self_incompatibility,pollination_classes,pollination_vectors,seed_dispersal_classes,seed_dispersal_vectors,cohorts,disturbance_classes,disturbance_codes,time_since_disturbance,title_method_screen_hints,potential_multilayer_screen,screening_status,screening_note
SF05,17,Jump et al. 2012,2012,Jump,"Jump, A.S., Rico, L., Coll, M., Peñuelas, J., 2012. Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability. Heredity (Edinb). 108, 633–639. https://doi.org/10.1038/hdy.2012.1",10.1038/hdy.2012.1,Fagus sylvatica,1,4,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Spain,Temperate forest,tree,Perennial,m.out,,Ab,Wi,Ab-s,Gr,juvenil,U,P17-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,19,Kyndt et al. 2009,2009,Kyndt,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266",10.3732/ajb.0800266,Adansonia digitata,1,5,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Burkina Faso;Republic of Benin;Republic of Ghana;Republic of Senegal,Savanna,tree,Perennial,m.out,,Bmx,Ba,Mix-l,Ba,non-defined mixed,D,P19-Sp1-D,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,20,Lemos et al. 2015,2015,Lemos,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",10.1007/s11295-015-0885-7,Schinus molle,1,9,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Brazil,Savanna,tree,Perennial,,,Bs,In,Mix-l,"Bi, MMa",adult,FH,P20-Sp1-FH,uns,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,21,Lind-Riehl & Gailing 2015,2015,Lind-Riehl,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",10.1007/s00606-014-1173-y,Quercus ellipsoidalis;Quercus rubra,2,9,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,USA,Temperate forest,tree,Perennial,m.out,,Ab,Wi,Ab-s,Gr,non-defined mixed,FL;FM,P21-Sp1-FL;P21-Sp1-FM;P21-Sp2-FM,>100 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,22,Mizuki et al. 2010,2010,Mizuki,"Mizuki, I., Ishida, K., Tani, N., Tsumura, Y., 2010. Fine-scale spatial structure of genets and sexes in the dioecious plant Dioscorea japonica, which disperses by both bulbils and seeds. Evol. Ecol. 24, 1399–1415. https://doi.org/10.1007/s10682-010-9396-z.",10.1007/s10682-010-9396-z,Dioscorea japonica,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Japan,Forest,herb,Perennial,m.out,,Bs,In,Ab-l,Wi,adult,D,P22-Sp1-D,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,23,Nakagawa et al. 2010,2010,Nakagawa,"Nakagawa, M., 2010. Fine-scale genetic structure within plots of Polygala reinii (Polygalaceae) having an ant-dispersal seed. J. Plant Res. 123, 355–362. https://doi.org/10.1007/s10265-009-0276-y",10.1007/s10265-009-0276-y,Polygala reinii,1,2,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Japan,Forest,herb,Perennial,m.out,,Bs,In,T-s,An,non-defined mixed,D,P23-Sp1-D,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,24,Oddou-Muratorio et al. 2004,2004,Oddou-Muratorio,"Oddou-Muratorio, S., Demesure-Musch, B., Pélissier, R., Gouyon, P.H., 2004. Impacts of gene flow and logging history on the local genetic structure of a scattered tree species, Sorbus torminalis L. Crantz. Mol. Ecol. 13, 3689–3702. https://doi.org/10.1111/j.1365-294X.2004.02373.x",10.1111/j.1365-294x.2004.02373.x,Sorbus torminalis,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,France,Temperate forest,tree,Perennial,m.out,,Bs,In,Mix-l,Bi,adult,D,P24-Sp1-D,>70 y,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,25,Oddou-Muratorio et al. 2010,2010,Oddou-Muratorio,"Oddou-Muratorio, S., Bontemps, A., Klein, E.K., Chybicki, I., Vendramin, G.G., Suyama, Y., 2010. Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata. For. Ecol. Manage. 259, 2151–2159. https://doi.org/10.1016/j.foreco.2010.03.001",10.1016/j.foreco.2010.03.001,Fagus crenata;Fagus sylvatica,2,4,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,France;Japan,"Pine forest, Fagus forest;Temperate deciduous forest",tree,Perennial,m.out,,Ab,Wi,Ab-s,Gr,adult,FL;U,P25-Sp1-FL;P25-Sp2-U,<20 y;uns,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,27,Sant'Anna et al. 2013,2013,Sant'Anna,"Sant’Anna, C.S., Sebbenn, A.M., Klabunde, G.H.F., Bittencourt, R., Nodari, R.O., Mantovani, A., dos Reis, M.S., 2013. Realized pollen and seed dispersal within a continuous population of the dioecious coniferous Brazilian pine [Araucaria angustifolia (Bertol.) Kuntze]. Conserv. Genet. 14, 601–613. https://doi.org/10.1007/s10592-013-0451-5",10.1007/s10592-013-0451-5,Araucaria angustifolia,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Brazil,Atlantic forest,tree,Perennial,m.out,,Ab,Wi,Ab-s,Gr,defined mixed,FL,P27-Sp1-FL,>80 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,28,Schroeder et al. 2014,2014,Schroeder,"Schroeder, J.W., Tran, H.T., Dick, C.W., 2014. Fine scale spatial genetic structure in Pouteria reticulata (Engl.) Eyma (Sapotaceae), a dioecious, vertebrate dispersed tropical rain forest tree species. Glob. Ecol. Conserv. 1, 43–49. https://doi.org/10.1016/j.gecco.2014.07.002",10.1016/j.gecco.2014.07.002,Pouteria reticulata,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Republic of Panama,Tropical deciduous rainforest,tree,Perennial,m.out,,Bs,In,Mix-l,"Bi, Pr",adult,FH,P28-Sp1-FH,>100 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,29,Soto et al. 2007,2007,Soto,"Soto, A., Lorenzo, Z., Gil, L., 2007. Differences in fine-scale genetic structure and dispersal in Quercus ilex L. and Q. suber L.: Consequences for regeneration of mediterranean open woods. Heredity (Edinb). 99, 601–607. https://doi.org/10.1038/sj.hdy.6801007",10.1038/sj.hdy.6801007,Quercus ilex;Quercus suber,2,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Spain,Mediterranean forest,tree,Perennial,m.out,,Ab,Wi,Mix-l,"Bi,Ro",defined mixed,FH,P29-Sp1-FH;P29-Sp2-FH,>20 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,30,Theim et al. 2014,2014,Theim,"Theim, T.J., Shirk, R.Y., Givnish, T.J., 2014. Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity. Am. J. Bot. 101, 1189–1199. https://doi.org/10.3732/ajb.1300460",10.3732/ajb.1300460,Psychothria horizontalis;Psychothria marginata;Psychotria acuminata;Psychotria hoffmannseggiana,4,4,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Republic of Panama,Moist tropical forest,shrub,Perennial,m.out;m.self,SC.monomorphic;SI.heterostyly,Bs,In,Mix-l,Bi,non-defined mixed,FH,P30-Sp1-FH;P30-Sp2-FH;P30-Sp3-FH;P30-Sp4-FH,,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,31,Trapnell et al. 2008,2008,Trapnell,"Theim, T.J., Shirk, R.Y., Givnish, T.J., 2014. Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity. Am. J. Bot. 101, 1189–1199. https://doi.org/10.3732/ajb.1300460",10.3732/ajb.1300460,Ceratiola ericoides,1,2,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,USA,Shrubland,shrub,Perennial,m.out,,Ab,Wi,Ab-s;Mix-l,Bi;Gr,defined mixed,D,P31-Sp1-D,<40 y;>10 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,32,Wang et al. 2011,2011,Wang,"Wang, R., Compton, S.G., Chen, X.Y., 2011. Fragmentation can increase spatial genetic structure without decreasing pollen-mediated gene flow in a wind-pollinated tree. Mol. Ecol. 20, 4421–4432. https://doi.org/10.1111/j.1365-294X.2011.05293.x",10.1111/j.1365-294x.2011.05293.x,Castanopsis sclerophylla,1,2,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,China,Subtropical evergreen forest,tree,Perennial,m.out,,Ab,Wi,Ab-s,Gr,defined mixed,FH,P32-Sp1-FH,>50 y,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,42,Van Rossum & Triest 2003,2003,Van Rossum,"Van Rossum, F., Triest, L., 2003. Spatial Genetic Structure and Reproductive Success in Fragmented and Continuous Populations of Primula vulgaris. Folia Geobot. 38, 239–254.",,Primula vulgaris,1,3,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Belgium,Moist deciduous forest,herb,Perennial,m.out,SI.distily,Bs,In,Ab-s,Au,adult,FM,P42-Sp1-FM,uns,F_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,44,Van Rossum & Triest 2007,2007,Van Rossum,"Van Rossum, F., Triest, L., 2007. Fine-scale spatial genetic structure of the distylous Primula veris in fragmented habitats. Plant Biol. 9, 374–382. https://doi.org/10.1055/s-2006-924632",10.1055/s-2006-924632,Primula veris,1,3,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Belgium,Grassland,herb,Perennial,m.out,SI.distily,Bs,In,Ab-s,Au,adult,FM,P44-Sp1-FM,decades,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,46,Born et al. 2008,2008,Born,"Born, C., Hardy, O.J., Chevallier, M.H., Ossari, S., Attéké, C., Wickings, E.J., Hossaert-Mckey, M., 2008. Small-scale spatial genetic structure in the Central African rainforest tree species Aucoumea klaineana: A stepwise approach to infer the impact of limited gene dispersal, population history and habitat fragmentation. Mol. Ecol. 17, 2041–2050. https://doi.org/10.1111/j.1365-294X.2007.03685.x",10.1111/j.1365-294x.2007.03685.x,Aucoumea klaineana,1,6,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Gabon,Tropical deciduous rainforest,tree,Perennial,m.out,,Bs,In,Ab-l,Wi,juvenil,FH;FL,P46-Sp1-FH;P46-Sp1-FL,>10 y;uns,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,48,Aizawa et al. 2016,2016,Aizawa,"Aizawa, M., Nakayama, C., Ohkubo, T., 2016. Comparison of fine-scale spatial genetic structure of two sympatric Rhododendron shrub species in forest habitat having different seed weights: A case study. Silvae Genet. 65, 39–45. https://doi.org/10.1515/sg-2016-0015",10.1515/sg-2016-0015,Rhododendron kaempferi;Rhodondendron semibarbatum,2,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Japan,Deciduous forest,shrub,Perennial,m.out,SI,Bs,In,Ab-l,Wi,non-defined mixed,D,P48-Sp1-D;P48-Sp2-D,>50 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,49,Albaladejo et al. 2012,2012,Albadalejo,"Albaladejo, R.G., Guzmán, B., González-Martínez, S.C., Aparicio, A., 2012. Extensive pollen flow but few pollen donors and high reproductive variance in an extremely fragmented landscape. PLoS One 7, 1–9. https://doi.org/10.1371/journal.pone.0049012",10.1371/journal.pone.0049012,Pistacia lentiscus,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,PS013,Spain,Mediterranean landscape,shrub,Perennial,m.out,,Ab,Wi,Mix-l,Bi,adult,FH,P49-Sp1-FH,uns,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,51,Araujo et al. 2017,2017,Araujo,"Araújo, M.R.G., Melo Júnior, A.F. de, Menezes, E.V., Brandão, M.M., Cota, L.G., Oliveira, D.A. de, Royo, V. de A., Vieira, F.A., 2017. Fine-scale spatial genetic structure and gene flow in Acrocomia aculeata (Arecaceae): Analysis in an overlapping generation. Biochem. Syst. Ecol. 71, 147–154. https://doi.org/10.1016/j.bse.2017.02.005",10.1016/j.bse.2017.02.005,Acrocomia aculeata,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Brazil,Tropical forest,tree,Perennial,m.out,SI,Bs,In,Ab-s,Gr,defined mixed,FH,P51-Sp1-FH,uns,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,52,Bessega et al. 2016,2016,Bessega,"Bessega, C., Pometti, C.L., Ewens, M., Saidman, B.O., Vilardi, J.C., 2016. Fine-scale spatial genetic structure analysis in two Argentine populations of Prosopis alba (Mimosoideae) with different levels of ecological disturbance. Eur. J. For. Res. 135, 495–505. https://doi.org/10.1007/s10342-016-0948-9",10.1007/s10342-016-0948-9,Prosopis alba,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Argentina,Forest,tree,Perennial,m.out,,Bs,In,T-s,Ro,adult,U,P52-Sp1-U,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,53,Browne et al. 2015,2015,Browne,"Browne, L., Ottewell, K., Karubian, J., 2015. Short-term genetic consequences of habitat loss and fragmentation for the neotropical palm Oenocarpus bataua. Heredity (Edinb). 115, 389–395. https://doi.org/10.1038/hdy.2015.35",10.1038/hdy.2015.35,Oenocarpus bataua,1,2,yes,no,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Ecuador,Rainforest,tree,Perennial,m.out,,Bs,In,Mix-l,Bi,adult,FL;FM,P53-Sp1-FL;P53-Sp1-FM,<40 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,54,Budde et al. 2017,2017,Budde,"Budde, K.B., González-Martínez, S.C., Navascués, M., Burgarella, C., Mosca, E., Lorenzo, Z., Zabal-Aguirre, M., Vendramin, G.G., Verdú, M., Pausas, J.G., Heuertz, M., 2017. Increased fire frequency promotes stronger spatial genetic structure and natural selection at regional and local scales in Pinus halepensis Mill. Ann. Bot. 119, 1061–1072. https://doi.org/10.1093/aob/mcw286",10.1093/aob/mcw286,Pinus halepensis,1,8,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Spain,Mediterranean forest;Sclerophyllous semideciduous forests,tree,Perennial,,,Ab,Wi,Ab-l,Wi,adult,D,P54-Sp1-D-SNP;P54-Sp1-D-micros,<40 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,56,Buzatti et al. 2012,2012,Buzatti,"Buzatti, R.S. de O., Ribeiro, R.A., Filho, J.P. de L., Lovato, M.B., 2012. Fine-scale spatial genetic structure of Dalbergia nigra (Fabaceae), a threatened and endemic tree of the Brazilian Atlantic Forest. Genet. Mol. Biol. 35, 838–846. https://doi.org/10.1590/S1415-47572012005000066",10.1590/s1415-47572012005000066,Dalbergia nigra,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Brazil,Atlantic forest,tree,Perennial,m.out,,Bs,In,Ab-l,Wi,adult,U,P56-Sp1-U,,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,57,Castilla et al. 2019,2019,Castilla,"Castilla, A.R., Garrote, P.J., ?ywiec, M., Calvo, G., Suárez-Esteban, A., Delibes, M., Godoy, J.A., Picó, F.X., Fedriani, J.M., 2019. Genetic rescue by distant trees mitigates qualitative pollen limitation imposed by fine-scale spatial genetic structure. Mol. Ecol. 28, 4363–4374. https://doi.org/10.1111/mec.15233",10.1111/mec.15233,Pyrus bourgaeana,1,2,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Spain,Mediterranean landscape,tree,Perennial,m.out,SI.gam.prob,Bs,In,Mix-l,"MMa, Un",adult,FM,P57-Sp1-FM,uns,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
