Paper,ID,species,family,life.fo.cat,life.form,life.cycle,foliage,rep.sys,mating.sys,S.I.,outcross.rate,out.rate.unit,selfing.rate,t.pol,pol.clas,pol.v,t.disp,d.clas,d.vec,country,biome,clim.reg,meta,cohort.mean,pop.name,cohort.grp,cohort,Pob.desc,density,dsensity.unit,sampling.type,N,marker,no.markers,FSGS.significance,F(1),bF,Sp,Sp (SE),f o F,FST,FIS ,Ho,He,AR,Kinship.coefficient,Kinship.coefficient (citation),time.w/o.dist,time.from.dist,disturbance,dist.desc,dist.clas,dist.code,logging,experimental.fragmentation,opening.clearings,agriculture,farming,urbanization,mining,construction,roads,fire,silviculture,agrofoestry,plantations,fertilizers/pesticides,conserved,year,first.author,citation,reference,Sp,F1,B,correlogram,data
10,11,Baillonella toxisperma,Sapotaceae,tree/shrub,tree,Perennial,Deciduous,Hermaphrodite,mixed,SC,0.73,tm,NA,Biotic,Bs,In,Biotic,Mix-l,"El,Pr,Ro",Gabon,Rainforest,Tropical,N,N,P1,defined mixed,defined mixed,mature trees and saplings,NA,NA,exhaustive adults and representative for other cohorts,438,microsatellites,10,Y,NA,NA,9.4999999999999998E-3,3.7000000000000002E-3,NA,NA,NA,NA,NA,NA,Kinship coefficient,Loiselle et al 1995,<10 y,>20 y,silv,controlled logging 2010-2014,D,P10-Sp1-D,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,2016,Duminil,Duminil et al. 2016a,"Duminil, J., Mendene Abessolo, D.T., Ndiade Bourobou, D., Doucet, J.L., Loo, J., Hardy, O.J., 2016. High selfing rate, limited pollen dispersal and inbreeding depression in the emblematic African rain forest tree Baillonella toxisperma – Management implications. For. Ecol. Manage. 379, 20–29. https://doi.org/10.1016/j.foreco.2016.08.003",Y,N,N,Y,N
11,12,Erythrophleum suaveolens,Fabaceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,mixed,SC,0.78200000000000003,tm,NA,Biotic,Bs,In,Abiotic,Ab-s,Gr,Cameroon,Semi-evergreen evergreen rainforest,Tropical,Y,N,P1.1,adult,adult,Cameroon adults;  never logged,1.72,ind/ha,max sampling in patch (47.5 y 100 ha)  and 3-4 transects,177,microsatellites,9,Y,5.5399999999999998E-2,NA,6.1000000000000004E-3,1.6000000000000001E-3,0.155,NA,NA,0.53100000000000003,0.628,5.03,Kinship coefficient,Loiselle et al 1995,NA,NA,und,"undisturbed, never logged",U,P11-Sp1-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2016,Duminil,Duminil et al. 2016,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.101",Y,Y,N,Y,http://dx.doi.org/10.5061/dryad.b78fb.
11,12,Erythrophleum suaveolens,Fabaceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,mixed,SC,0.81799999999999995,tm,NA,Biotic,Bs,In,Abiotic,Ab-s,Gr,DRC,Semi-evergreen evergreen rainforest,Tropical,Y,N,P2.1,adult,adult,DRC adults; never logged,0.68,ind/ha,max sampling in patch (47.5 y 100 ha)  and 3-4 transects,88,microsatellites,9,Y,4.1500000000000002E-2,NA,5.3E-3,1.1999999999999999E-3,0.11899999999999999,NA,NA,0.51200000000000001,0.58099999999999996,5.07,Kinship coefficient,Loiselle et al 1995,NA,NA,und,"undisturbed, never logged",U,P11-Sp1-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2016,Duminil,Duminil et al. 2016,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.101",Y,Y,N,Y,http://dx.doi.org/10.5061/dryad.b78fb.
11,12,Erythrophleum suaveolens,Fabaceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,mixed,SC,0.85,tm,NA,Biotic,Bs,In,Abiotic,Ab-s,Gr,Gabon,Semi-evergreen evergreen rainforest,Tropical,N,N,P3.1,adult,adult,Gabon adults;  2 logging events,0.11,ind/ha,intensive sampling 7000 ha,31,microsatellites,9,Y,4.7699999999999999E-2,NA,7.0000000000000001E-3,8.0999999999999996E-3,0.217,NA,NA,0.51500000000000001,0.65800000000000003,6.08,Kinship coefficient,Loiselle et al 1995,<10 y,>10 y,silv,2 logging events. First species was not logged. Second 60-70% big ind logged,D,P11-Sp1-D,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,2016,Duminil,Duminil et al. 2016,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.101",Y,Y,N,Y,http://dx.doi.org/10.5061/dryad.b78fb.
13,14,Manikara maxima,Sapotaceae,tree/shrub,tree,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Mix-l,"Ba,Bi,Pr",Brazil,Atlantic forest,Tropical,Y,N, P1.1,adult,adult,NE Adults; large fragment,4.13,stem/ha, (25 ha)  patches de 10 ha.,43,microsatellites,5,Y,NA,NA,1.7999999999999999E-2,NA,NA,NA,0.11,0.55000000000000004,0.63,NA,Multilocus relatedness coefficient; Kinship coefficient,Peakall & Smouse 2006; Loiselle et al 1995,uns,>30 y,log,"logging, big fragments",FL,P13-Sp1-FL,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2015,Ghanzorn,Ganzhorn et al. 2015,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292",Y,N,N,Y,N
13,14,Manikara maxima,Sapotaceae,tree/shrub,tree,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Mix-l,"Ba,Bi,Pr",Brazil,Atlantic forest,Tropical,Y,N, P2.1,adult,adult,UE Adults; large fragment,4,stem/ha, (25 ha)  patches de 10 ha.,40,microsatellites,5,Y,NA,NA,0,NA,NA,NA,-0.08,0.54,0.5,NA,Multilocus relatedness coefficient; Kinship coefficient,Peakall & Smouse 2006; Loiselle et al 1995,uns,>30 y,log,"logging, big fragments",FL,P13-Sp1-FL,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2015,Ghanzorn,Ganzhorn et al. 2015,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292",Y,N,N,Y,N
13,14,Manikara maxima,Sapotaceae,tree/shrub,tree,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Mix-l,"Ba,Bi,Pr",Brazil,Atlantic forest,Tropical,N,N, P3.1,adult,adult,LM Adults; little fragments (8),0.9,stem/ha, (25 ha)  patches de 10 ha. All fragment( 10 & 5 ha),60,microsatellites,5,Y,NA,NA,1.4E-2,NA,NA,NA,0.21,0.6,0.74,NA,Multilocus relatedness coefficient; Kinship coefficient,Peakall & Smouse 2006; Loiselle et al 1995,0 y,>30 y,log+agr,logging and crops,FM,P13-Sp1-FM,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2015,Ghanzorn,Ganzhorn et al. 2015,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292",Y,N,N,Y,N
15,18,Dycorynia guianensis,Fabaceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,T-s,"Ro,Wi",French Guiane,Tropical forest,Tropical,N,N,P1.2,non-defined mixed,non-defined mixed,Paracou,3.51,ind/ha,exhaustive trees dbh >10 cm,181,microsatellites,7,Y,0.1,NA,2.5999999999999999E-2,4.0000000000000001E-3,5.0000000000000001E-3,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,NA,und,undisturbed,U,P15-Sp3-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2006,Hardy,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Y,Y,N,Y,N
15,18,Dycorynia guianensis,Fabaceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,T-s,"Ro,Wi",French Guiane,Tropical forest,Tropical,N,N,P2.1,non-defined mixed,non-defined mixed,Counami,3.6,ind/ha,exhaustive trees dbh >10 cm,140,RAPD,7,Y,0.03,NA,1.9E-2,3.0000000000000001E-3,NA,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,NA,und,pristine,U,P15-Sp3-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2006,Hardy,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Y,Y,N,Y,N
15,21,Moronobea coccinea,Clusiaceae,tree/shrub,tree,Perennial,NA,Hermaphrodite,NA,NA,NA,NA,NA,Biotic,Bmx,Bi,Biotic,T-s,Ro,French Guiane,Tropical forest,Tropical,N,N,P1,non-defined mixed,non-defined mixed,Paracou,1.63,ind/ha,exhaustive trees dbh >10 cm,68,RAPD,13,Y,0.114,NA,5.2999999999999999E-2,1.4999999999999999E-2,NA,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,NA,und,undisturbed,U,P15-Sp6-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2006,Hardy,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Y,Y,N,Y,N
15,22,Sextonia rubra,Lauraceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,NA,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Mix-l,Bi,French Guiane,Tropical forest,Tropical,N,N,P1.1,non-defined mixed,non-defined mixed,Paracou,1.73,ind/ha,exhaustive trees dbh >10 cm,202,microsatellites,5,Y,8.0000000000000002E-3,NA,5.0000000000000001E-3,1E-3,7.5999999999999998E-2,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,NA,und,undisturbed,U,P15-Sp7-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2006,Hardy,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Y,Y,N,Y,N
15,23,Symphonia globulifera,Clusiaceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,NA,NA,NA,NA,NA,Biotic,Bmx,Bi,Biotic,Mix-l,Ba,French Guiane,Tropical forest,Tropical,N,N,P1.1,non-defined mixed,non-defined mixed,Paracou,6.12,ind/ha,exhaustive trees dbh >10 cm,156,microsatellites,3,Y,2.5000000000000001E-2,NA,7.0000000000000001E-3,3.0000000000000001E-3,0.17,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,NA,und,undisturbed,U,P15-Sp8-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2006,Hardy,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Y,Y,N,Y,N
15,25,Vouacapoua americana,Fabaceae,tree/shrub,tree,Perennial,Semideciduous,Hermaphrodite,NA,NA,NA,NA,NA,Biotic,Bs,In,Biotic,T-s,Ro,French Guiane,Tropical forest,Tropical,Y,N,P1.1,non-defined mixed,non-defined mixed,Paracou,6.27,ind/ha,exhaustive trees dbh >10 cm,187,microsatellites,6,Y,0.13,NA,5.0999999999999997E-2,8.9999999999999993E-3,3.5999999999999997E-2,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,NA,und,undisturbed,U,P15-Sp10-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2006,Hardy,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Y,Y,N,Y,N
15,25,Vouacapoua americana,Fabaceae,tree/shrub,tree,Perennial,Semideciduous,Hermaphrodite,NA,NA,NA,NA,NA,Biotic,Bs,In,Biotic,T-s,Ro,French Guiane,Tropical forest,Tropical,Y,N,P2.1,non-defined mixed,non-defined mixed,Counami,4.16,ind/ha,exhaustive trees dbh >10 cm,1564,microsatellites,6,Y,5.8000000000000003E-2,NA,1.2E-2,6.0000000000000001E-3,0.186,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,NA,und,pristine,U,P15-Sp10-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2006,Hardy,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Y,Y,N,Y,N
16,27,Ficus yoponensis,Moraceae,tree/shrub,tree,Perennial,Evergreen,Monoecious,NA,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Mix-l,Ba,Republic of Panama,Moist tropical forest,Tropical,N,N,P1,non-defined mixed,non-defined mixed,BCI,NA,NA,sampling of numerous ind,37,microsatellites,8,Y,1.4E-2,-8.2000000000000007E-3,8.3000000000000001E-3,1.24E-2,NA,NA,-5.6000000000000001E-2,NA,0.64,NA,Kinship coefficient,Loiselle et al 1995,<150 y,>150 y,agr,agriculture,FM,P16-Sp2-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2015,Heer,Heer et al. 2015,"Heer, K., Kalko, E.K.V., Albrecht, L., García-Villacorta, R., Staeps, F.C., Herre, E.A., Dick, C.W., 2015. Spatial scales of genetic structure in free-standing and strangler figs (Ficus, Moraceae) inhabiting neotropical forests. PLoS One 10, 1–18. https://doi.org/10.1371/journal.pone.0133581",Y,Y,Y,Y,https://doi.org/10.1371/journal.pone.0133581.s001
