source_frame,sf04_reference_id,source_reference_number,source_publication,streams,n_source_case_rows,n_species,species,methods,disturbances,latitudes,lifeforms,lifespans,reproductive_systems,origins,multilayer_screen_status,screening_note,outcome_opened
SF04,SF04R11,11,White & Powell (1997) Molecular Ecology 6: 851-860,allelic_richness;expected_heterozygosity,2,1,Swietenia humilis,microsatellite,fragmentation,13.27,tree,long-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R12,12,Novick et al. (2003) Molecular Ecology 12: 2885-2893,allelic_richness;expected_heterozygosity,2,1,Swietenia macrophylla,microsatellite,fragmentation,16.8,tree,long-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R13,13,Gómez-Fernández et al. (2016) Conservation Genetics 17: 631-641,allelic_richness;expected_heterozygosity,4,1,Lepidium subulatum,microsatellite,fragmentation,40.17,shrub,long-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R14,14,Addisalem et al. (2016) Forest Ecology and Management 360: 253-260,allelic_richness;expected_heterozygosity,2,1,Boswellia papyrifera,microsatellite,fragmentation,10.55,tree,long-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R15,15,Li et al. (2015) Pakistan Journal of Botany 47: 2171-2179,allelic_richness;expected_heterozygosity,2,1,Sauvagesia rhodoleuca,microsatellite,fragmentation,24.13,tree,long-lived plant,self-compatible,endemic,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R16,16,Baucom et al. (2005) Conservation Genetics 6: 39-50,allelic_richness;expected_heterozygosity,2,1,Acer saccharum,isozyme,degradation,35.63,tree,long-lived plant,self-compatible,introduced,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R17,17,Peñaloza-Ramírez et al. (2016) Revista Mexicana de Biodiversidad 87: 990-1001,allelic_richness;expected_heterozygosity,2,1,Chamaedorea alternans,isozyme,fragmentation,18.3,palm,long-lived plant,self-compatible,endemic,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R18,18,Browne et al. (2015) Heredity 115: 389-395,allelic_richness;expected_heterozygosity,2,1,Oenocarpus batawa,microsatellite,fragmentation,0.37,palm,long-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R19,19,Sujii et al. (2017) Biological Conservation 211: 110-116,allelic_richness;expected_heterozygosity,2,1,Centrolobium tomentosum,microsatellite,fragmentation,-21.6,tree,long-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R20,20,Giombini et al. (2017) Heredity 118: 568-577,allelic_richness;expected_heterozygosity,2,1,Syagrus romanzoffiana,microsatellite,degradation,-23.87,palm,long-lived plant,self-compatible,introduced,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R21,21,Millán-Aguilar et al. (2016) Forests 7: art197,allelic_richness;expected_heterozygosity,2,1,Avicennia germinans,microsatellite,degradation,22.91,tree,long-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R22,22,Otao et al. (2016) Applications in Plant Sciences 4: art1500110,allelic_richness;expected_heterozygosity,2,1,Indigofera pseudotinctoria,microsatellite,degradation,35.65,herb,short-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R23,23,Ahrens & James (2016) Conservation Genetics 17: 891-901,allelic_richness;expected_heterozygosity,6,1,Comesperma polygaloides,microsatellite,fragmentation,-37.11,herb,short-lived plant,self-compatible,endemic,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R24,24,Lara-Romero et al. (2016) Heredity 116: 417-423,allelic_richness;expected_heterozygosity,2,1,Silene ciliata,microsatellite,degradation,40.77,herb,short-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R25,25,Aavik et al. (2017) Biological Conservation 210: 125-135,allelic_richness;expected_heterozygosity,2,1,Rhinanthus osiliensis,microsatellite,degradation,58.26,herb,short-lived plant,self-compatible,endemic,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R26,26,Melo & Franceschinelli (2016) Journal of Tropical Ecology 32: 135-145,allelic_richness;expected_heterozygosity,2,1,Cabralea canjerana,microsatellite,fragmentation,-21.31,tree,long-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R27,27,Matesanz et al. (2017) Frontiers in Plant Science 8: art843,allelic_richness;expected_heterozygosity,4,1,Centaurea hyssopifolia,microsatellite,fragmentation,40.12; 40.15,herb,short-lived plant,self-compatible,endemic,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R28,28,Suárez-Montes et al. (2016) PeerJ 4: e2764,allelic_richness;expected_heterozygosity,6,1,Aphelandra aurantiaca,microsatellite,fragmentation,18.36,herb,short-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R29,29,Astuti et al. (2017) Nature Conservation 22: 169-190,allelic_richness;expected_heterozygosity,2,1,Cistus laurifolius,microsatellite,fragmentation,43.21,herb,short-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R30,30,Bupp et al. (2017) Conservation Genetics 18: 77-88,allelic_richness;expected_heterozygosity,2,1,Lupinus aridorum,microsatellite,fragmentation,28.87,herb,short-lived plant,self-compatible,endemic,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R31,31,Crichton et al. (2016) Conservation Genetics 17: 547-556,allelic_richness;expected_heterozygosity,2,1,Melampyrum sylvaticum,microsatellite,fragmentation,58.35,herb,short-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R32,32,Martínez-Natarén et al. (2017) Journal of Tropical Ecology 33: 285-294,allelic_richness;expected_heterozygosity,2,1,Manikara zapota,microsatellite,fragmentation,20.17,tree,long-lived plant,self-compatible,introduced,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R33,33,Shiga et al. (2017) Journal of Plant Research 130: 83-93,allelic_richness;expected_heterozygosity,2,1,Nuphar submersa,microsatellite,fragmentation,36.07,aquatic,short-lived plant,self-compatible,endemic,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R34,34,Stevens et al. (2015) New Zealand Journal of Ecology 39: 190-197,expected_heterozygosity,1,1,Melicytus ramiflorus,microsatellite,fragmentation,-36.23,tree,long-lived plant,self-incompatible,endemic,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R35,35,Pellegrino et al. (2015) BMC Plant Biology 15: art222,expected_heterozygosity,1,1,Serapias lingua,microsatellite,fragmentation,39.36,herb,short-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R36,36,White et al. (1999) Molecular Ecology 8: 1899-1909,expected_heterozygosity,2,1,Swietenia humilis Zucc.,microsatellite,fragmentation,13.27,tree,long-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R37,37,Tunaitiene et al. (2017) Biochemical Systematics and Ecology 70: 294-303,expected_heterozygosity,1,1,Erigeron annuus,microsatellite,degradation,54.05,herb,short-lived plant,self-compatible,introduced,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R38,38,Heinicke et al. (2016) Flora 224: 42-49.,expected_heterozygosity,3,1,Stipa pennata,AFLP,fragmentation,52.87,herb,short-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
