Paper,ID,species,family,life.fo.cat,life.form,life.cycle,foliage,rep.sys,mating.sys,S.I.,outcross.rate,out.rate.unit,selfing.rate,t.pol,pol.clas,pol.v,t.disp,d.clas,d.vec,country,biome,clim.reg,meta,cohort.mean,pop.name,cohort.grp,cohort,Pob.desc,density,dsensity.unit,sampling.type,N,marker,no.markers,FSGS.significance,F(1),bF,Sp,Sp (SE),f o F,FST,FIS ,Ho,He,AR,Kinship.coefficient,Kinship.coefficient (citation),time.w/o.dist,time.from.dist,disturbance,dist.desc,dist.clas,dist.code,logging,experimental.fragmentation,opening.clearings,agriculture,farming,urbanization,mining,construction,roads,fire,silviculture,agrofoestry,plantations,fertilizers/pesticides,conserved,year,first.author,citation,reference,Sp,F1,B,correlogram,data
15,25,Vouacapoua americana,Fabaceae,tree/shrub,tree,Perennial,Semideciduous,Hermaphrodite,NA,NA,NA,NA,NA,Biotic,Bs,In,Biotic,T-s,Ro,French Guiane,Tropical forest,Tropical,Y,N,P1.1,non-defined mixed,non-defined mixed,Paracou,6.27,ind/ha,exhaustive trees dbh >10 cm,187,microsatellites,6,Y,0.13,NA,5.0999999999999997E-2,8.9999999999999993E-3,3.5999999999999997E-2,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,NA,und,undisturbed,U,P15-Sp10-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2006,Hardy,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Y,Y,N,Y,N
15,25,Vouacapoua americana,Fabaceae,tree/shrub,tree,Perennial,Semideciduous,Hermaphrodite,NA,NA,NA,NA,NA,Biotic,Bs,In,Biotic,T-s,Ro,French Guiane,Tropical forest,Tropical,Y,N,P2.1,non-defined mixed,non-defined mixed,Counami,4.16,ind/ha,exhaustive trees dbh >10 cm,1564,microsatellites,6,Y,5.8000000000000003E-2,NA,1.2E-2,6.0000000000000001E-3,0.186,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,NA,und,pristine,U,P15-Sp10-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2006,Hardy,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Y,Y,N,Y,N
17,28,Fagus sylvatica,Fagaceae,tree/shrub,tree,Perennial,Deciduous,Monoecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Abiotic,Ab-s,Gr,Spain,Temperate forest,Temperate,Y,N,P1,non-adult,juvenil,Bergueda,682.67,tree/ha,150 trees,150,AFLP,6,Y,NA,NA,2.2200000000000001E-2,1.2999999999999999E-3,NA,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,uns,und,w/o recent disturbance,U,P17-Sp1-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2012,Jump,Jump et al. 2012,"Jump, A.S., Rico, L., Coll, M., Peñuelas, J., 2012. Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability. Heredity (Edinb). 108, 633–639. https://doi.org/10.1038/hdy.2012.1",Y,N,N,Y,doi:10.5061/dryad.6qg398d1
17,28,Fagus sylvatica,Fagaceae,tree/shrub,tree,Perennial,Deciduous,Monoecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Abiotic,Ab-s,Gr,Spain,Temperate forest,Temperate,Y,N,P2,non-adult,juvenil,Vail d Aran,573.58000000000004,tree/ha,150 trees,150,AFLP,6,Y,NA,NA,1.6199999999999999E-2,1.4E-3,NA,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,uns,und,w/o recent disturbance,U,P17-Sp1-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2012,Jump,Jump et al. 2012,"Jump, A.S., Rico, L., Coll, M., Peñuelas, J., 2012. Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability. Heredity (Edinb). 108, 633–639. https://doi.org/10.1038/hdy.2012.1",Y,N,N,Y,doi:10.5061/dryad.6qg398d2
17,28,Fagus sylvatica,Fagaceae,tree/shrub,tree,Perennial,Deciduous,Monoecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Abiotic,Ab-s,Gr,Spain,Temperate forest,Temperate,Y,N,P3,non-adult,juvenil,Ripolles,552.07000000000005,tree/ha,150 trees,150,AFLP,6,Y,NA,NA,1.03E-2,8.9999999999999998E-4,NA,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,uns,und,w/o recent disturbance,U,P17-Sp1-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2012,Jump,Jump et al. 2012,"Jump, A.S., Rico, L., Coll, M., Peñuelas, J., 2012. Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability. Heredity (Edinb). 108, 633–639. https://doi.org/10.1038/hdy.2012.1",Y,N,N,Y,doi:10.5061/dryad.6qg398d3
17,28,Fagus sylvatica,Fagaceae,tree/shrub,tree,Perennial,Deciduous,Monoecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Abiotic,Ab-s,Gr,Spain,Temperate forest,Temperate,Y,N,P4,non-adult,juvenil,Montseny,542.14,tree/ha,150 trees,150,AFLP,6,Y,NA,NA,5.4000000000000003E-3,6.9999999999999999E-4,NA,NA,NA,NA,NA,NA,Kinship coefficient,Hardy 2003,NA,uns,und,w/o recent disturbance,U,P17-Sp1-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2012,Jump,Jump et al. 2012,"Jump, A.S., Rico, L., Coll, M., Peñuelas, J., 2012. Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability. Heredity (Edinb). 108, 633–639. https://doi.org/10.1038/hdy.2012.1",Y,N,N,Y,doi:10.5061/dryad.6qg398d4
19,30,Adansonia digitata,Malvaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Biotic,Bmx,Ba,Biotic,Mix-l,Ba,Republic of Benin,Savanna,Tropical,Y,N,P1,non-defined mixed,non-defined mixed,Benin,5,ind/km2,random sampling ind (15-29),29,AFLP,5,Y,NA,NA,1.2E-2,NA,NA,NA,NA,NA,0.3,NA,Kinship coefficient,Hardy 2003,0 y,uns,agfor,agroforestry and  high human influence,D,P19-Sp1-D,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2009,Kyndt,Kyndt et al. 2009,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266",Y,N,N,Y,N
19,30,Adansonia digitata,Malvaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Biotic,Bmx,Ba,Biotic,Mix-l,Ba,Burkina Faso,Savanna,Tropical,Y,N,P10,non-defined mixed,non-defined mixed,Burkina Faso,6,ind/km2,random sampling ind (15-29),26,AFLP,5,Y,NA,NA,4.9000000000000002E-2,NA,NA,NA,NA,NA,0.32,NA,Kinship coefficient,Hardy 2003,0 y,uns,agfor,agroforestry and human influence,D,P19-Sp1-D,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2009,Kyndt,Kyndt et al. 2009,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266",Y,N,N,Y,N
19,30,Adansonia digitata,Malvaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Biotic,Bmx,Ba,Biotic,Mix-l,Ba,Republic of Ghana,Savanna,Tropical,Y,N,P4,non-defined mixed,non-defined mixed,Ghana,4,ind/km2,random sampling ind (15-29),28,AFLP,5,Y,NA,NA,1.9E-2,NA,NA,NA,NA,NA,0.32,NA,Kinship coefficient,Hardy 2003,0 y,uns,agfor,agroforestry and human influence,D,P19-Sp1-D,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2009,Kyndt,Kyndt et al. 2009,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266",Y,N,N,Y,N
19,30,Adansonia digitata,Malvaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Biotic,Bmx,Ba,Biotic,Mix-l,Ba,Republic of Senegal,Savanna,Tropical,Y,N,P8,non-defined mixed,non-defined mixed,Senegal,7,ind/km2,random sampling ind (15-29),26,AFLP,5,Y ,NA,NA,1.0999999999999999E-2,NA,NA,NA,NA,NA,0.27,NA,Kinship coefficient,Hardy 2003,0 y,uns,agfor,agroforestry and less human influence,D,P19-Sp1-D,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2009,Kyndt,Kyndt et al. 2009,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266",Y,N,N,Y,N
19,30,Adansonia digitata,Malvaceae,tree/shrub,tree,Perennial,Deciduous,NA,m.out,NA,NA,NA,NA,Biotic,Bmx,Ba,Biotic,Mix-l,Ba,Burkina Faso,Savanna,Tropical,Y,N,P9,non-defined mixed,non-defined mixed,Burkina Faso,6,ind/km2,random sampling ind (15-29),22,AFLP,5,Y,NA,NA,4.5999999999999999E-2,NA,NA,NA,NA,NA,0.32,NA,Kinship coefficient,Hardy 2003,0 y,uns,agfor,agroforestry and human influence,D,P19-Sp1-D,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2009,Kyndt,Kyndt et al. 2009,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266",Y,N,N,Y,N
20,31,Schinus molle,Anacardiaceae,tree/shrub,tree,Perennial,Evergreen,NA,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,Mix-l,"Bi, MMa",Brazil,Savanna,Tropical,Y,N,P1,adult,adult,DP,1.55,tree/ha,"27-32 adults, aprox. 70-95% adults",30,AFLP,2,Y,4.0500000000000001E-2,-8.6E-3,8.8999999999999999E-3,NA,NA,NA,NA,NA,0.18,NA,Kinship coefficient,Hardy 2003,0 y,uns,agr+urb,"fragmented by grassland, crops or urbanization",FH,P20-Sp1-FH,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2015,Lemos,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Y,Y,Y,Y,https://treegenesdb.org/tpps_details/accession/TGDR045
20,31,Schinus molle,Anacardiaceae,tree/shrub,tree,Perennial,Evergreen,NA,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,Mix-l,"Bi, MMa",Brazil,Savanna,Tropical,Y,N,P2,adult,adult,BG,0.16,tree/ha,"27-32 adults, aprox. 70-95% adults",30,AFLP,2,Y,5.2600000000000001E-2,-1.7500000000000002E-2,1.8499999999999999E-2,NA,NA,NA,NA,NA,0.23,NA,Kinship coefficient,Hardy 2003,0 y,uns,agr+urb,"fragmented by grassland, crops or urbanization",FH,P20-Sp1-FH,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2015,Lemos,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Y,Y,Y,Y,https://treegenesdb.org/tpps_details/accession/TGDR046
20,31,Schinus molle,Anacardiaceae,tree/shrub,tree,Perennial,Evergreen,NA,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,Mix-l,"Bi, MMa",Brazil,Savanna,Tropical,Y,N,P3,adult,adult,SG,32.67,tree/ha,"27-32 adults, aprox. 70-95% adults",27,AFLP,2,Y,5.9400000000000001E-2,-2.5700000000000001E-2,2.7300000000000001E-2,NA,NA,NA,NA,NA,0.16,NA,Kinship coefficient,Hardy 2003,0 y,uns,agr+urb,"fragmented by grassland, crops or urbanization",FH,P20-Sp1-FH,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2015,Lemos,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Y,Y,Y,Y,https://treegenesdb.org/tpps_details/accession/TGDR047
20,31,Schinus molle,Anacardiaceae,tree/shrub,tree,Perennial,Evergreen,NA,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,Mix-l,"Bi, MMa",Brazil,Savanna,Tropical,Y,N,P4,adult,adult,SL,3.69,tree/ha,"27-32 adults, aprox. 70-95% adults",32,AFLP,2,Y,6.1800000000000001E-2,-1.44E-2,1.54E-2,NA,NA,NA,NA,NA,0.14000000000000001,NA,Kinship coefficient,Hardy 2003,0 y,uns,agr+urb,"fragmented by grassland, crops or urbanization",FH,P20-Sp1-FH,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2015,Lemos,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Y,Y,Y,Y,https://treegenesdb.org/tpps_details/accession/TGDR048
20,31,Schinus molle,Anacardiaceae,tree/shrub,tree,Perennial,Evergreen,NA,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,Mix-l,"Bi, MMa",Brazil,Savanna,Tropical,Y,N,P5,adult,adult,MV,0.76,tree/ha,"27-32 adults, aprox. 70-95% adults",32,AFLP,2,Y,5.2999999999999999E-2,-9.1000000000000004E-3,9.5999999999999992E-3,NA,NA,NA,NA,NA,0.17,NA,Kinship coefficient,Hardy 2003,0 y,uns,agr+urb,"fragmented by grassland, crops or urbanization",FH,P20-Sp1-FH,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2015,Lemos,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Y,Y,Y,Y,https://treegenesdb.org/tpps_details/accession/TGDR049
20,31,Schinus molle,Anacardiaceae,tree/shrub,tree,Perennial,Evergreen,NA,NA,NA,NA,NA,NA,Biotic,Bs,In,Mixed,Mix-l,"Bi, MMa",Brazil,Savanna,Tropical,Y,N,P6,adult,adult,AL,31.75,tree/ha,"27-32 adults, aprox. 70-95% adults",32,AFLP,2,Y,3.4700000000000002E-2,-8.5000000000000006E-3,8.8999999999999999E-3,NA,NA,NA,NA,NA,0.13,NA,Kinship coefficient,Hardy 2003,0 y,uns,agr+urb,"fragmented by grassland, crops or urbanization",FH,P20-Sp1-FH,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2015,Lemos,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Y,Y,Y,Y,https://treegenesdb.org/tpps_details/accession/TGDR050
