dist.c,Paper,ID,dist.code,cohort.mean,species,family,life.form,cohort,mating.sys,pol.c,pol.v,disp.c,disp.v,marker,n,Me,Se,Mc,Sc
FL,91,P91-Sp1,P91-Sp1-FL,N,Mercurialis perennis,Euphorbiaceae,herb,non-defined mixed,m.out,Ab,Wi,T-s,An,AFLP,2,8.6499999999999994E-2,1.6263455999999999E-2,2.98625E-2,3.31042E-2
FM,4,P4-Sp1,P4-Sp1-FM,N,Milicia excelsa,Moraceae,tree/shrub,non-defined mixed,m.out,Ab,Wi,Mix-l,Ba,microsatellites,2,5.1000000000000004E-3,1.697056E-3,2.98625E-2,3.31042E-2
FM,21,P21-Sp1,P21-Sp1-FM,N,Quercus rubra,Fagaceae,tree/shrub,non-defined mixed,m.out,Ab,Wi,Ab-s,Gr,microsatellites,2,5.4999999999999997E-3,2.1213199999999999E-3,2.98625E-2,3.31042E-2
FM,21,P21-Sp2,P21-Sp2-FM,N,Quercus ellipsoidalis,Fagaceae,tree/shrub,non-defined mixed,m.out,Ab,Wi,Ab-s,Gr,microsatellites,4,1.0500000000000001E-2,5.9160799999999998E-3,2.98625E-2,3.31042E-2
FM,42,P42-Sp1,P42-Sp1-FM,N,Primula vulgaris,Primulaceae,herb,adult,m.out,Bs,In,Ab-s,Au,Allozymes,3,1.3666667E-2,2.0816659999999998E-3,2.98625E-2,3.31042E-2
FM,44,P44-Sp1,P44-Sp1-FM,N,Primula veris,Primulaceae,herb,adult,m.out,Bs,In,Ab-s,Au,Allozymes,3,1.7333332999999999E-2,9.4516310000000003E-3,2.98625E-2,3.31042E-2
FM,57,P57-Sp1,P57-Sp1-FM,N,Pyrus bourgaeana,Rosaceae,tree/shrub,adult,m.out,Bs,In,Mix-l,"MMa, Un",microsatellites,2,0.05,4.2426406999999999E-2,2.98625E-2,3.31042E-2
FM,91,P91-Sp1,P91-Sp1-FM,N,Mercurialis perennis,Euphorbiaceae,herb,non-defined mixed,m.out,Ab,Wi,T-s,An,AFLP,2,4.5999999999999999E-2,8.4852810000000008E-3,2.98625E-2,3.31042E-2
FH,32,P32-Sp1,P32-Sp1-FH,Y,Castanopsis sclerophylla,Fagaceae,tree/shrub,defined mixed,m.out,Ab,Wi,Ab-s,Gr,microsatellites,2,6.8999999999999999E-3,2.1213199999999999E-3,2.98625E-2,3.31042E-2
FH,75,P75-Sp1,P75-Sp1-FH,N,Syagrus romanzoffiana,Arecaceae,tree/shrub,non-adult,m.out,Bs,In,Mix-l,Un,microsatellites,3,2.3666666999999999E-2,1.3576941E-2,2.98625E-2,3.31042E-2
FH,79,P79-Sp1,P79-Sp1-FH,N,Acacia aroma,Fabaceae,tree/shrub,adult,m.out,Bs,In,Mix-l,Un,AFLP,3,4.6666667000000002E-2,2.5166114999999999E-2,2.98625E-2,3.31042E-2
FH,86,P86-Sp1,P86-Sp1-FH,N,Menyanthes trifoliata,Menyanthaceae,herb,adult,m.out,Bs,In,Ab-l,Wa,microsatellites,9,3.9E-2,2.0892582E-2,2.98625E-2,3.31042E-2
