source_frame,source_paper_id,citation,doi,screen_wave,screen_basis,candidate_layer_geometry,fragmentation_exposure_frame,independent_unit_frame,screen_decision,decision_reason,next_action,outcome_opened,outcome_blind_confirmation
SF05,20,Lemos et al. 2015,10.1007/s11295-015-0885-7,2,design_and_methods_only,C+G_adult,"nine natural Schinus molle populations across the Brazilian Pampa; fragmentation is part of the study question","population is independent; exact fragment area/connectivity exposure is not yet established from the screening source",advance_full_text_exposure_screen,"Nine independent populations are available and the paper explicitly asks about forest fragmentation, but the bibliographic screen does not yet establish a quantitative source-defined fragmentation gradient or reference class.","recover site table and verify area/connectivity exposure before deciding effect-stream admissibility",no,yes
SF05,24,Oddou-Muratorio et al. 2004,10.1111/j.1365-294x.2004.02373.x,2,design_and_methods_only,C+G_adult,"one 472-ha Sorbus population with internal logging-history structure","logging units are nested within one population and are not a replicated fragmented/reference landscape frame",closed_nonfragmentation_single_population_disturbance,"The source analyzes gene flow, recruitment and logging history inside one population rather than independent fragmentation treatment/reference populations.","retain as disturbance-history background only",no,yes
SF05,25,Oddou-Muratorio et al. 2010,10.1016/j.foreco.2010.03.001,2,design_and_methods_only,C+G_adult,"Fagus dispersal-method comparison across study sites without a source-defined fragmentation treatment/reference contrast","sites serve species/method comparison rather than fragmentation replicates",closed_no_fragmentation_reference_contrast,"The article compares direct and indirect estimates of seed and pollen dispersal and does not define a fragmentation response contrast.","retain as dispersal-method background only",no,yes
SF05,32,Wang et al. 2011,10.1111/j.1365-294x.2011.05293.x,2,design_and_methods_only,C+G_adult+G_offspring,"Castanopsis populations occupy habitats fragmented to varying extents; pre- and post-fragmentation cohorts are sampled","population/subpopulation and cohort frames are explicit; exact common-frame effect construction remains to be verified",advance_full_text_quantitative_screen,"The study directly embeds age cohorts within habitats spanning fragmentation severity and measures genetic structure together with dispersal-related responses.","recover population-level pre/post cohort data and fragmentation classes; test G_adult-G_offspring and process-layer admissibility without using lower-level trees as replicates",no,yes
SF05,46,Born et al. 2008,10.1111/j.1365-294x.2007.03685.x,2,design_and_methods_only,C+G_adult,"six populations: five under continuous forest cover and one open-habitat population with recent fragmentation","only one independent fragmented population is present",closed_single_fragmented_unit,"The source has only one fragmented/open population against five continuous-forest populations, so a primary Hedges-g contrast cannot obtain fragmentation-group dispersion from independent fragmented units.","retain as descriptive fragmentation case; do not use individual trees to repair the missing fragmented replicate",no,yes
SF05,49,Albaladejo et al. 2012,10.1371/journal.pone.0049012,2,design_and_methods_only,C+G_adult,"one highly fragmented Pistacia landscape already linked to existing EGWEE seed PS013","existing programme is already represented by the structurally closed Pistacia candidate",closed_existing_structural_hard_stop,"This source is already linked to the existing Pistacia programme whose fragmentation-level comparison is structurally non-identifiable under the current contract.","do not create a duplicate programme or reopen without genuinely new independent landscape/reference replication",no,yes
SF05,51,Araujo et al. 2017,10.1016/j.bse.2017.02.005,2,design_and_methods_only,C+G_adult,"one 4.5-ha degraded/fragmented Acrocomia population followed across developmental stages","adults, juveniles and progeny are nested within one population",closed_fragment_only_no_reference,"The source contains multiple developmental stages but only one fragmented/degraded population, so there is no independent fragmentation reference frame.","retain as cohort-genetics background; do not infer a fragmentation effect from stage differences",no,yes
SF05,68,Yao et al. 2011,10.1111/j.1438-8677.2010.00361.x,2,design_and_methods_only,C+G_adult,"one 50 x 100 m transect within an old-growth forest population described as fragmented","adults, juveniles and seedlings are nested within the same population",closed_fragment_only_no_reference,"The study compares life stages inside one fragmented population and therefore cannot identify a fragmented-versus-reference response.","retain as within-population cohort/gene-flow evidence only",no,yes
SF05,69,Chung et a. 2007,10.1111/j.1365-294x.2007.03361.x,2,design_and_methods_only,D+G_adult,"population successional status is the focal exposure rather than habitat fragmentation","populations may be independent but the exposure is succession",closed_nonfragmentation_exposure,"The study is designed around successional demographic history, not the registered fragmentation exposure family.","retain as ecological background; do not recode succession as fragmentation",no,yes
SF05,71,Cortes et al. 2013,10.1111/mec.12495,2,design_and_methods_only,C+D+G_adult,"two continuous-forest sites and three independent 1-ha forest fragments","site/fragment is the fragmentation-level unit",advance_full_text_quantitative_screen,"The source provides replicated continuous and fragmented forest sites and parentage/propagule-dispersal responses on the same landscape design.","recover site-level endpoints and uncertainty; verify which C/D/G endpoints share the exact exposure and observation frame",no,yes
SF05,76,Ismail et al. 2012,10.1111/mec.12054,2,design_and_methods_only,C+G_adult+G_offspring,"fragmented agro-forest landscape with low- and high-density forest-patch contexts and adult/juvenile stages","independent patch/stand replication for the density exposure must be verified",advance_full_text_exposure_screen,"The paper directly studies fragmentation genetics and includes adult/juvenile genetics plus pollen/parentage processes, but the abstract-level frame does not establish how many independent low- and high-density fragmentation units support each endpoint.","recover patch/stand identities and verify fragmentation-level n before any paired effect construction",no,yes
SF05,83,Browne & Karubian 2018,10.1111/mec.14765,2,design_and_methods_only,C+G_adult,"established seedlings sampled in forest fragments and continuous forest in northwest Ecuador","fragment/continuous-forest site is the candidate independent unit; exact counts require source recovery",advance_full_text_quantitative_screen,"The study explicitly contrasts forest fragments with continuous forest and partitions pollen- versus seed-mediated genetic contributions, giving a direct same-system fragmentation process frame.","recover site counts, fragment identities and endpoint uncertainty before standardisation",no,yes
SF05,85,Monthe et al. 2017,10.1111/mec.14241,2,design_and_methods_only,C+G_adult,"adult trees, seeds and saplings sampled from one 400-ha natural-forest plot","all cohorts and parentage observations are nested within one plot",closed_no_fragmentation_reference_contrast,"The study estimates seed and pollen dispersal within a single natural-forest plot and does not define independent fragmentation treatments.","retain as dispersal and mating-system background only",no,yes
SF05,86,Raabova et al. 2015,10.1016/j.ppees.2015.02.005,2,design_and_methods_only,D+G_adult,"nine remnant populations of varying population size in fragmented Belgian bog/fen habitat","population is independent; whether population size is an admissible source-defined fragmentation severity metric needs protocol-level verification",advance_full_text_exposure_screen,"The study has replicated remnant populations and genetic/demographic responses, but its primary predictor is population size rather than a directly declared area/isolation fragmentation metric.","recover site metadata and decide prospectively whether the exposure belongs in the secondary fragmentation-severity stream; otherwise retain as single-layer context",no,yes
SF05,93,Lompo et al. 2020,10.1002/ajb2.1504,2,design_and_methods_only,C+G_adult+G_offspring,"four independent Parkia populations: two cotton-farm high-fragmentation and two non-cotton lower-fragmentation parklands","population is the fragmentation-level unit; adult and embryo cohorts are nested within each population",advance_full_text_quantitative_screen,"The design prospectively contrasts two higher-fragmentation and two lower-fragmentation populations and samples adult and embryo genetic states plus mating/gene-dispersal processes.","recover population-level adult/embryo genetic summaries and process endpoints with compatible uncertainty; evaluate G_adult-G_offspring and C-layer effects on the common four-population frame",no,yes
