queue_id,candidate_openalex_id,doi,title,publication_year,first_author,source_name,layer_hints,pair_families,abstract_available,triage_class,workload_priority_basis,screening_status,outcome_opened
CFTQ0015,W4410157027,10.1086/736572,Flowering and Fruiting Characteristics and Phenology of an Endemic Monoecious Tree in a Fragmented African Rainforest Landscape,2025,Freddy S. Kabala,International Journal of Plant Sciences,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0016,W4411057123,10.3389/fpls.2025.1522871,Impact of fragmented habitats on reproductive success in dominant shrubs: natural selection on floral display and pollinator visitation,2025,Min Chen,Frontiers in Plant Science,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0017,W4413335303,10.1098/rsos.250207,The interplay between local biodiversity floral odours and reproductive success varies across different population sizes of Cypripedium calceolus,2025,Mélissa Haouzi,Royal Society Open Science,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0018,W4413847408,10.1016/j.dib.2025.112013,"A comprehensive dataset on pollinator diversity, visitation rates, individual-based traits, and pollination success across four plant species in an urban garden experiment in Zurich, Switzerland",2025,Merin Reji Chacko,Data in Brief,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0019,W4413883223,10.1016/j.flora.2025.152829,"Phenology, floral biology, morphology and hawkmoth pollination of Calliandra magdalenae (Fabaceae) in modified landscapes of the Soconusco region, Mexico",2025,Karen Beatriz Hernández‐Esquivel,Flora,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0020,W4413921868,10.1146/annurev-ecolsys-110421-102855,Plant Mating Systems in Small Populations,2025,Jon Ågren,Annual Review of Ecology Evolution and Systematics,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0021,W4414394819,10.1002/ece3.72127,Seed Production and Pollinator Dependence in Native Wildflowers: Guiding Species Selection for Conservation Plantings,2025,Anthony P. Abbate,Ecology and Evolution,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0022,W4414402107,10.1111/1365-2664.70159,Urbanised landscape and microhabitat differences can influence flowering phenology and synchrony in an annual herb,2025,Hinata Fujiwara,Journal of Applied Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0023,W4414449732,10.3389/fevo.2025.1594599,Conservation of animal–plant mutualistic networks is essential to prevent functional extinction of the narrow endemic morning glory Ipomoea cavalcantei in Amazon canga ecosystems,2025,Elena Babiychuk,Frontiers in Ecology and Evolution,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0024,W4396770414,10.1093/aob/mcae076,Anthropogenic land-use change decreases pollination and male and female fitness in terrestrial flowering plants,2024,Ramiro J.A. Ovejero Aguilar,Annals of Botany,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0025,W4399087562,10.3120/0024-9637-70.4.197,"FLOWERING, FRUIT SET, AND SEED PREDATION IN ARCTOSTAPHYLOS MORROENSIS, A RARE OBLIGATE-SEEDING SHRUB",2024,Claudia M. Tyler,Madroño,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0026,W4399189183,10.3159/torrey-d-23-00025.1,"Genetic diversity, reproductive success, and genetic differentiation from congeners in the narrow endemic Phlox pilosa ssp. sangamonensis1",2024,Jack Zinnen,The Journal of the Torrey Botanical Society,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0027,W4399387738,10.3390/d16060333,What Factors Determine the Natural Fruit Set of Cephalanthera longifolia and Cephalanthera rubra?,2024,Laurynas Taura,Diversity,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0028,W4399436522,10.3390/biology13060423,"Self-Incompatibility in Devil’s Potato (Echites umbellatus Jacq., Apocynaceae) May Explain Why Few Flowers Set Fruit",2024,Suzanne Koptur,Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0029,W4400514002,10.2179/0008-7475.89.1.35,The Only Effective Pollinators of Guettarda scabra are Nocturnal Hawkmoths: A Re-Examination and Refutation of Earlier Conclusions,2024,María Cleopatra Pimienta,Castanea,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0030,W4401038379,10.3389/frbee.2024.1393431,Do forest reserves help maintain pollinator diversity and pollination services in tropical agricultural highlands? A case study using Brassica rapa as a model,2024,Natalia Escobedo‐Kenefic,Frontiers in Bee Science,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0031,W4401103506,10.1093/botlinnean/boae031,"Reproductive biology of Santolina ligustica Arrigoni, a rare narrow-ranged species: implications for conservation",2024,Chiara Bonifazio,Botanical Journal of the Linnean Society,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0032,W4402626468,10.1371/journal.pone.0310679,Isolation limits spring pollination in a UK fragmented landscape,2024,Dongbo Li,PLoS ONE,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0033,W4405548088,10.26786/1920-7603(2024)786,"Notes on pollination ecology of Altensteinia fimbriata Kunth in the city of Quito, Ecuador",2024,Martín Carrera,Journal of Pollination Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0034,W4315705352,10.12688/openreseurope.14281.2,Wild snapdragon plant pedigree sheds light on limited connectivity enhanced by higher migrant reproductive success in a fragmented landscape,2023,Laura Gervais,Open Research Europe,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0035,W4316039461,10.1016/j.flora.2023.152219,Increasing density enhances pollination and fecundity in the rewarding orchid Gymnadenia conopsea,2023,Karl J. Duffy,Flora,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0036,W4363677462,10.21203/rs.3.rs-2442865/v1,Isolation limits spring pollination in a UK fragmented landscape,2023,Dongbo Li,Research Square,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0037,W4366680606,10.1038/s41598-023-33720-z,Genetic assessment of the value of restoration planting within an endangered eucalypt woodland,2023,Natalie L. Rosser,Scientific Reports,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0038,W4378084694,10.1016/j.gecco.2023.e02520,Plants at population edges enjoy longer mating distances: Implications for conservation practice,2023,Hanqing Tang,Global Ecology and Conservation,I;C;F;G_offspring,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0039,W4378830627,10.1111/oik.09919,Tropical plant–hummingbird interactions withstand short‐term experimental removal of a common flowering plant,2023,Kara G. Leimberger,Oikos,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0040,W4384397946,10.21203/rs.3.rs-3145216/v1,Introduced honeybees (Apis mellifera) in orchid pollination: surrogate pollinators or pollen wasters?,2023,Daniela Scaccabarozzi,Research Square,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0041,W4386824185,10.1073/pnas.2306967120,Habitat fragmentation decouples fire-stimulated flowering from plant reproductive fitness,2023,Jared J. Beck,Proceedings of the National Academy of Sciences,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0042,W4387519860,10.1111/aec.13444,Impact of reserve area on reproduction of a moth‐pollinated Stackhousia Sm. (Celastraceae) species in a fragmented landscape,2023,Alex G. Blackall,Austral Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0043,W4214722162,10.1101/2022.02.24.481682,Tropical hummingbird pollination networks are resistant to short-term experimental removal of a common flowering plant,2022,Kara G. Leimberger,bioRxiv (Cold Spring Harbor Laboratory),I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0044,W4220669809,10.1101/2022.03.11.483986,Urbanization and green corridors influence reproductive success and pollinators of common milkweed,2022,Sophie T. Breitbart,bioRxiv (Cold Spring Harbor Laboratory),I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0045,W4282980539,10.3389/ffgc.2022.893548,"Spatiotemporal Variation on Fertility, Mating System, and Gene Flow in Vriesea gigantea (Bromeliaceae), an Atlantic Forest Species",2022,Gecele Matos Paggi,Frontiers in Forests and Global Change,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0046,W4285139907,10.4236/ojf.2022.123019,Genetic Variation in Tropical Tree Species and Plantations: A Review,2022,Tomiwa Victor Oluwajuwon,Open Journal of Forestry,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0047,W4286434187,10.3390/f13071152,Gene Flow and Recruitment Patterns among Disjunct Populations of Allocasuarina verticillata (Lam.) L.A.S. Johnson,2022,Yong Zhang,Forests,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0048,W4296035331,10.1002/ajb2.16072,Genetic variation in reproductive timing in a long‐lived herbaceous perennial,2022,Will J. Reed,American Journal of Botany,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0049,W4297359992,10.3389/fevo.2022.908258,Pollinator movement activity influences genetic diversity and differentiation of spatially isolated populations of clonal forest herbs,2022,Jannis Till Feigs,Frontiers in Ecology and Evolution,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0050,W4313447219,10.1111/1365-2435.14252,Density‐dependent dispersal strategy of pollinator moderates the adverse effect of habitat loss on plant reproduction: An integrated model based on pollinators' behavioural response,2022,Le Jiao,Functional Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0051,W3126580036,10.3390/biology10020114,Bioecological and Behavioral Interaction between Pollinating Bees and the Pioneer Shrub Ludwigia nervosa in Degraded Area Suggests an Exotic Bee as Its Major Pollinator,2021,Eliana Aparecida Ferreira,Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0052,W3128219789,10.1016/j.gecco.2021.e01474,Calcareous grassland fragments as sources of bee pollinators for the surrounding agricultural landscape,2021,Felix Klaus,Global Ecology and Conservation,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0053,W3134916135,10.3389/fevo.2021.640143,Long-Term Tree Regeneration of Fragmented Agroforestry Systems Under Varying Climatic Conditions,2021,Mario Dı́az,Frontiers in Ecology and Evolution,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0054,W3157905788,10.1371/journal.pone.0250859,Seedling recruitment under isolated trees in a tea plantation provides a template for forest restoration in eastern Africa,2021,Henry Joseph Ndangalasi,PLoS ONE,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0055,W3158015835,10.1111/1442-1984.12333,The pollination seesaw of Rhynchospora cephalotes ( L. ) V ahl ( C yperaceae): Influence of plant location on the role of wind and insects as pollen vectors,2021,Ana Carolina Galindo da Costa,Plant Species Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0056,W3161493909,10.1002/ece3.7613,Small‐scale genetic structure and mating patterns in an extensive sessile oak forest ( Quercus petraea (Matt.) Liebl.),2021,Pascal Eusemann,Ecology and Evolution,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0057,W3167946849,10.1111/rec.13458,"Genetic rescue reduces mate limitation in a threatened, clonal, and self‐incompatible plant species",2021,Nora Gavin‐Smyth,Restoration Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0058,W3178987595,10.13057/biodiv/d220815,"The genetic diversity and reproductive dynamics of sandalwood in Gunung Sewu (Java, Indonesia) in 2012-2019: designing conservation strategies in a continuous versus fragmented landrace",2021,Y W N Ratnaningrum,Biodiversitas Journal of Biological Diversity,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0059,W3183855512,10.1002/ece3.7946,Restored and remnant Banksia woodlands elicit different foraging behavior in avian pollinators,2021,Alison L. Ritchie,Ecology and Evolution,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0060,W3201447185,10.1186/s12870-021-03211-2,"Comparative effects of pollen limitation, floral traits and pollinators on reproductive success of Hedysarum scoparium Fisch. et Mey. in different habitats",2021,Min Chen,BMC Plant Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0061,W3216132155,10.12688/openreseurope.14281.1,Wild snapdragon plant pedigree sheds light on limited connectivity enhanced by higher migrant reproductive success in a fragmented landscape,2021,Laura Gervais,Open Research Europe,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0062,W4200396392,10.1016/j.sajb.2021.11.056,Road and landscape-context impacts on bird pollination in fynbos of the southeastern Cape Floristic Region,2021,B. Adriaan Grobler,South African Journal of Botany,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0063,W2266955751,10.25710/hvwa-qp48,"The effects of a widespread, showy invasive plant (Rubus armeniacus) on pollinator visitation rates, pollen deposition, and seed set in a rare native wildflower (Sidalcea hendersonii)",2020,Natasha S. Johnson,Western CEDAR (Western Washington University),I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0064,W3005770126,10.1111/plb.13099,Seed dispersal and realized gene flow of two forest orchids in a fragmented landscape,2020,Milan Kotilínek,Plant Biology,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0065,W3008248205,10.1002/eap.2093,Fragmentation reduces community‐wide taxonomic and functional diversity of dispersed tree seeds in the Central Amazon,2020,Elaine R. Hooper,Ecological Applications,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0066,W3020068403,10.1016/j.gecco.2020.e01063,Reproductive ecology of Paphiopedilum spicerianum: Implications for conservation of a critically endangered orchid in China,2020,Qiang Liu,Global Ecology and Conservation,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0067,W3042877058,10.1002/ece3.6550,Pollen limitation in the endangered Chinese endemic species Sinocalycanthus chinensis,2020,Junmin Li,Ecology and Evolution,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0068,W3048987625,10.1016/j.gecco.2020.e01227,Decreasing genetic connectivity in the endangered tree Magnolia patungensis in fragmented forests,2020,Xiangrong Fan,Global Ecology and Conservation,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0069,W3087567931,10.1111/plb.13184,Female and male fitness of a sexually deceptive orchid with a narrow distribution area: from phenotypic traits to spatial distribution patterns,2020,Joshua Borràs,Plant Biology,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0070,W3098067612,10.1002/ppp3.10166,Genetic threats to the Forest Giants of the Amazon: Habitat degradation effects on the socio‐economically important Brazil nut tree (Bertholletia excelsa),2020,Fidel Chiriboga‐Arroyo,Plants People Planet,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0071,W2913064258,10.1093/jhered/esy069,Great Genetic Diversity but High Selfing Rates and Short-Distance Gene Flow Characterize Populations of a Tree (Foetidia; Lecythidaceae) in the Fragmented Tropical Dry Forest of the Mascarene Islands,2019,Nicolas Cuénin,Journal of Heredity,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0072,W2920225635,10.1002/eap.1850,Landscape heterogeneity is key to forecasting outcomes of plant reintroduction,2019,T. Trevor Caughlin,Ecological Applications,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0073,W2936580884,10.1111/plb.12986,Increasing the germination percentage of a declining native orchid (Himantoglossum adriaticum) by pollen transfer and outbreeding between populations,2019,Silvia Del Vecchio,Plant Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0074,W2943193068,10.1007/s10592-019-01187-z,"Impact of habitat loss and fragmentation on reproduction, dispersal and species persistence for an endangered Chilean tree",2019,Tonya A. Lander,Conservation Genetics,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0075,W2963358182,10.1111/btp.12688,"Forest amount, not structure, influences fruit removal of two pioneer species in Atlantic forest remnants",2019,Eliana Cazetta,Biotropica,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0076,W2967410585,10.1111/1442-1984.12247,"Breeding system and bird pollination of Camellia pubipetala , a narrowly endemic plant from karst regions of south China",2019,Shengfeng Chai,Plant Species Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0077,W2971737599,10.1146/annurev-ecolsys-110218-024845,A Bird's-Eye View of Pollination: Biotic Interactions as Drivers of Adaptation and Community Change,2019,Anton Pauw,Annual Review of Ecology Evolution and Systematics,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0078,W2972181850,10.1093/botlinnean/boz041,"Degree of fragmentation and population size do not adversely affect reproductive success of a rare shrub species, Banksia nivea (Proteaceae), in a naturally fragmented community",2019,Rujiporn Thavornkanlapachai,Botanical Journal of the Linnean Society,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0079,W2973052639,10.1002/ece3.5513,Endangered but genetically stable—Erythrophleum fordii within Feng Shui woodlands in suburbanized villages,2019,Zheng‐Feng Wang,Ecology and Evolution,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0080,W2981992424,10.3159/torrey-d-19-00021.1,Age structure and recruitment of Trillium luteum (Trilliaceae) populations in secondary forests of the southern Appalachian Mountains 1,2019,Michael A. Jenkins,The Journal of the Torrey Botanical Society,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0081,W2986384880,10.1002/ajb2.1383,Pollinator effectiveness in a composite: a specialist bee pollinates more florets but does not move pollen farther than other visitors,2019,Maureen Page,American Journal of Botany,I;C;F;G_offspring,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0082,W2995414380,10.1093/botlinnean/boz083,Genetic diversity and reproductive biology of the dioecious and epiphytic bromeliad Aechmea mariae-reginae (Bromeliaceae) in Costa Rica: implications for its conservation,2019,Alfredo Cascante‐Marín,Botanical Journal of the Linnean Society,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0083,W4255823402,10.5091/plecevo.2019.1537,Floral resource availability of Dicliptera squarrosa (Acanthaceae) and its dependence on hummingbirds for fruit formation in a forest fragment of Central Brazil,2019,Raphael Matias,Plant Ecology and Evolution,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
