source_frame,sf06_publication_id,source_publication,n_source_rows,responses,n_species,species,families,land_use_factors,compatibility_systems,sexual_expressions,pollination_contexts,life_forms,ecosystem_types,countries,multilayer_screen_status,screening_note,outcome_opened
SF06,SF06P011,Ballesteros et al. (2013) Oryx 47:199- 202,1,Female fitness,1,Ononis_tridentata,Fabaceae,Grazing,NA,hermaphrodite,invertebrate NA,shrub,extratropical,Spain,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P012,Barreto et al. (2018) Botanical Journal of the Linnean Society 187:319- 326,2,Female fitness; Pollination,1,Justicia_aequilabris,Acanthaceae,Habitat Fragmentation; Habitat fragmentation,NA,hermaphrodite,vertebrate specialist,shrub,extratropical,Brazil,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P013,Bartlewicz et al. (2015) Biological Journal of the Linnean Society 116:603- 613,1,Female fitness,1,Linaria_vulgaris,Plantaginacea,Urbanization,SI,hermaphrodite,invertebrate specialist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P014,Berjano et al. (2013) Journal for Nature Conservation 21:334- 341,1,Female fitness,1,Convolvulus_lineatus,Convolvulace,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,herb,extratropical,France,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P015,Bigger (1999) Nat Areas Journal 19:239- 244,1,Female fitness,1,Sericocarpus_rigidus,Asteraceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate; generalist,herb,NA,NA,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P016,Bizoux et al. (2008) Plant Biology 10:684- 693,2,Female fitness,1,Viola_lutea_subsp._calaminaria,Violaceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P017,Bosch et al. (2002) Biol J Linn Soc 76:79- 90,1,Female fitness,1,Petrocoptis_montsicciana,Caryophyllac,Habitat Fragmentation,SC,hermaphrodite,invertebrate generalist,herb,extratropical,Spain,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P018,Bossuyt (2007) Conservation Biology 21:832- 841,1,Female fitness,1,Parnassia_palustris,Saxifragaceae,Habitat Fragmentation,SC,hermaphrodite,invertebrate generalist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P019,Braun et al. (2012) Journal of Tropical Ecology 28:353- 359,1,Female fitness,1,Paypayrola_blanchetiana,Violaceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,tree,extratropical,Brazil,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P020,Breed et al. (2012) Ecology Letters 15:444- 452,1,Male fitness,1,Swietenia_macrophylla,Meliaceae,Habitat fragmentation,SC,monoecious,invertebrate; generalist,tree,tropical,Costa Rica,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P021,Breed et al. (2012) Molecular Ecology 21:5955- 5968,1,Male fitness,1,Eucalyptus_socialis,Myrtaceae,Habitat fragmentation,SC,hermaphrodite,invertebrate NA,tree,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P022,Breed et al. (2013) Heredity 115:108- 114,3,Male fitness,2,Eucalyptus_gracilis; Eucalyptus_incrassata,Myrtaceae,Habitat fragmentation,SC,hermaphrodite,invertebrate generalist; vertebrate specialist,tree,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P023,Bruna & Kress (2002) Cons Biol 16:1256- 1266,1,Female fitness,1,Heliconia_acuminata,Heliconiacea,Habitat Fragmentation,SI,hermaphrodite,vertebrate specialist,herb,tropical,Brazil,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P024,Brys et al. (2003) Acta Oecologica 24:247- 253,1,Female fitness,1,Primula_veris,Primulaceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P025,Brys et al. (2004) Journal of Ecology 92: 5- 14,1,Female fitness,1,Primula_vulgaris,Primulaceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P026,Brys et al. (2008) Botanical Journal of the Linnean Society 157:713- 721,2,Female fitness; Male fitness,2,Listera_ovata; Neottia_ovata,Orchideaceae; Orchidaceae,Habitat Fragmentation; Habitat fragmentation,SC,hermaphrodite,invertebrate specialist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P027,Brys et al. (2008) Journal of Evolutionary Biology 21:1281- 1289,1,Female fitness,1,Pulmonaria_officinalis,Boraginaceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P028,Brys et al. (2011) American Journal of Botany 98:1834- 1840,1,Female fitness,1,Centaurium_erythraea,Gentianaceae,Habitat Fragmentation,SC,hermaphrodite,invertebrate specialist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P029,Brzosko et al. (2017) Acta Agrobotanica 70.1,1,Female fitness,1,Cypripedium_calceolus,Orchideaceae,Habitat Fragmentation,NA,hermaphrodite,invertebrate specialist,herb,extratropical,Poland,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P030,Burgess et al. (2006) New Zealand Journal of Ecology 179- 190,1,Pollination,1,Peraxilla_tetrapetala,Loranthaceae,Habitat fragmentation,SC,hermaphrodite,invertebrate specialist,vine,extratropical,Mexico,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P031,Burgos et al. (2008) Forest Ecology and Management 255:1226- 1233,1,Female fitness,1,Nothofagus_glauca,Nothofagacea,Habitat Fragmentation,SI,dioecious,wind NA,tree,extratropical,Chile,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P032,Butcher et al. (2005) Conservation Genetics 6:213- 226,1,Male fitness,1,Eucalyptus_benthamii,Myrtaceae,Habitat fragmentation,SC,hermaphrodite,invertebrate NA,tree,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P033,Butcher et al. (2011) Conservation Genetics 12:1603- 1618,1,Male fitness,1,Tetratheca_paynterae,Elaocarpacea,Habitat fragmentation,SC,hermaphrodite,invertebrate; generalist,shrub,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P034,Byers (2020) Plant Biology 22:137- 145,2,Female fitness,1,Lobelia_fenestralis,Campanulace,Habitat Fragmentation,NA,gynodioecious,invertebrate generalist,herb,extratropical,EEUU,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P035,Byrne et al. (2007) Molecular Ecology 16:1303- 1314,1,Male fitness,1,Melaleuca_quadrifida,Myrtaceae,Habitat fragmentation,SC,hermaphrodite,vertebrate specialist,shrub,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P036,Byrne et al. (2008) Conservation Genetics 9:97- 105,1,Male fitness,1,Eucalyptus_wandoo,Myrtaceae,Habitat fragmentation,SC,hermaphrodite,invertebrate generalist,tree,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P037,Capó et al. (2021) Plant Biology 23:121- 129,1,Female fitness,1,Orchis_palustris_subsp._robusta,Orchidaceae,Urbanization,SI,hermaphrodite,invertebrate specialist,herb,extratropical,Spain,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P038,Cascante et al. (2002) Conservation Biology 16:137- 147,3,Female fitness; Male fitness; Pollination,1,Samanea_saman,Fabaceae,Habitat fragmentation; Habitat Fragmentation,SI,hermaphrodite,invertebrate; generalist; invertebrate; specialist,tree,tropical,Costa Rica,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P039,Chanyenga et al. (2011) Journal of Tropical Ecology 27:515- 520,1,Female fitness,1,Widdringtonia_whytei,Cupressaceae,Habitat Fragmentation,NA,dioecious,wind NA,tree,extratropical,Malawi,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P040,Chen & Zuo (2019) Frontiers in Plant Science 10:327,2,Female fitness; Pollination,1,Haloxylon_ammodendron,Amaranthace,Habitat Fragmentation; Habitat fragmentation,SC,gynodioecious,invertebrate generalist,shrub,extratropical,Mongolia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P041,Chen et al. (2019) Science of the Total Environment 654:1056- 1063,2,Female fitness; Pollination,1,Caragana_korshinskii,Fabaceae,Habitat Fragmentation; Habitat fragmentation,SC,hermaphrodite,invertebrate generalist,shrub,extratropical,Mongolia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P042,Chiapero et al. (2021) Forest Ecology and Management 492:119215,2,Female fitness; Pollination,1,Lithraea_molleoides,Anacardiacea,Habitat Fragmentation; Habitat fragmentation,SI,dioecious,invertebrate generalist,tree,extratropical,Argentina,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P043,Coates et al. (2007) Australian Journal of Botany 55:239- 249,3,Male fitness,3,Eucalyptus_rameliana; Lambertia_orbifolia; Verticordia_fimbrilepis,Myrtaceae; Proteaceae,Habitat fragmentation,SC,hermaphrodite,vertebrate NA; vertebrate specialist; invertebrate NA,tree; shrub,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P044,Collevati et al. (2001) Heredity 86:60- 67,1,Male fitness,1,Caryocar_brasiliense,Caryocaracea,Habitat fragmentation,SI,hermaphrodite,vertebrate specialist,tree,extratropical,Brazil,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P045,Colling & Matthies (2004) Oikos 105:71- 78,1,Female fitness,1,Scorzonera_humilis,Asteraceae,Habitat Fragmentation,SC,hermaphrodite,invertebrate; generalist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P046,Coombs et al. (2009) Austral Ecology 34:688- 697,3,Female fitness; Male fitness; Pollination,1,Gomphocarpus_physocarpus,Apocynaceae,Habitat fragmentation; Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,herb,tropical,South Africa; Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P047,Costin et al. (2001) Biol Conserv 98:273- 284,1,Female fitness,1,Leucochrysum_albicans,Asteraceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,herb,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P048,Craft & Ashley (2010) American Journal of Botany 97:1999- 2006,2,Female fitness; Male fitness,1,Quercus_macrocarpa,Fagaceae,Habitat fragmentation; Habitat Fragmentation,SC; NA,monoecious; hermaphrodite,wind NA,tree,extratropical,Estados Unidos,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P049,Cristobal-Pérez et al. (2021) Biological Conservation 256:109007,3,Female fitness; Male fitness; Pollination,1,Spondias_purpurea,Anacardiacea,Habitat fragmentation; Habitat Fragmentation,SI,dioecious,invertebrate; generalist; invertebrate; specialist,tree,tropical,Mexico,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P050,Cuevas et al. (2017) Botanical Sciences 95: 401- 408,1,Female fitness,1,Fuchsia_parviflora,Onagraceae,Habitat Fragmentation,SI,dioecious,both generalist,shrub,tropical,Mexico,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P051,Cunningham (2000) Conserv Biol 14:758- 768,2,Female fitness,2,Eremophila_glabra; Senna_artemisioides,Scrophulariac; Caesalpiniace,Habitat Fragmentation,SC,hermaphrodite,vertebrate specialist; invertebrate; specialist,herb; shrub,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P052,Cunningham (2000) Conservation Biology 14:758- 768,1,Female fitness,1,Dianella_revoluta,Phormiaceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate specialist,herb,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P053,Cunningham (2000) Proc R Soc B: Biol Sci 267:1149- 1152,1,Pollination,1,Eremophila_glabra,Scrophulariac,Habitat fragmentation,NA,NA,vertebrate specialist,shrub,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P054,Cuéllar-Rodríguez et al. (2016) The Journal of the Torrey Botanical Society 144:58- 62,1,Female fitness,1,Neltuma_laevigate,Fabaceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,tree,extratropical,Mexico,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P055,da Silva Elias et al. (2012) Journal of Tropical Ecology 28:317- 320,2,Female fitness; Pollination,1,Cardiopetalum_calophyllum,Annonaceae,Habitat Fragmentation; Habitat fragmentation,SI,hermaphrodite; dicogamia,invertebrate specialist,shrub,extratropical,Brazil,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P056,Dahlgaard & Warncke (1995) Nordic Journal of Botany 15:337- 341,1,Female fitness,1,Saxifraga_hirculus,Saxifragaceae,Habitat Fragmentation,SC,hermaphrodite,invertebrate; NA,herb,extratropical,Alemania,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P057,Dainese (2011) Plant Ecology 212:651- 661,1,Female fitness,1,Dactylis_glomerata,Poaceae,Habitat Fragmentation,NA,hermaphrodite,wind NA,herb,extratropical,Italy,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P058,Davies et al. (2015) Heredity 115:125- 129,1,Male fitness,1,Vochysia_ferruginea,Vochysiaceae,Habitat fragmentation,SI,hermaphrodite,invertebrate NA,tree,tropical,Costa Rica,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P059,Dayanandan et al. (1999) Molecular Ecology 8:2585- 1592,1,Male fitness,1,Carapa_guianensis,Meliaceae,Habitat fragmentation,SI,hermaphrodite,invertebrate NA,tree,tropical,Costa Rica,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P060,de Moraes & Sebbenn (2011) Biotropica 43:192- 199,1,Male fitness,1,Hymenaea_stigonocarpa,Fabaceae,Habitat Fragmentation,SC,hermaphrodite,vertebrate specialist,tree,tropical,Brazil,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P061,de Moraes et al. (2007) Scientia Forestalis/Forest Sciences 74:75- 86,1,Male fitness,1,Hymenaea_stigonocarpa,Fabaceae,Habitat fragmentation,SC,hermaphrodite,vertebrate specialist,tree,tropical,Brazil,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P062,Delnevo et al. (2019) Ecology and Evolution 9:11494- 11503,2,Female fitness,1,Conospermum_undulatum,Protaceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate specialist,shrub,extratropical,Australia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P063,Dick (2001) Proc R Soc Lond Series B: Biol Sci 268:2391- 2396,1,Female fitness,1,Dinizia_excelsa,Fabaceae,Habitat Fragmentation,SC,hermaphrodite,invertebrate generalist,tree,extratropical,Brazil,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P064,Donaldson et al. (2002) Conserv Biol 16:1267- 1276,2,Female fitness,2,Pterygodium_catholicum; Trachyandra_hirsuta,Orchidaceae; Asphodelacea,Habitat Fragmentation,SC; SI,hermaphrodite,invertebrate specialist; invertebrate; generalist,herb,extratropical,South Africa,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P065,Donaldson et al. (2002) Conservation Biology 16:1267- 1276,3,Female fitness,3,Cyanella_lutea; Gladiolus_liliaceus; Ornithogalum_thyrsoides,Tecophyllace; Iridaceae; Hyacinthacea,Habitat Fragmentation,SC,hermaphrodite,invertebrate specialist; invertebrate generalist,herb,extratropical,South Africa,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P066,Dostálek et al. (2010) Conservation Genetics 11:773- 783,1,Female fitness,1,Dracocephalum_austriacum,Lamiaceae,Habitat Fragmentation,SC,hermaphrodite,vertebrate specialist,herb,extratropical,Czech Repubilic,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P067,Duffy et al. (2013) Journal of Ecology 101:953- 962,3,Female fitness; Pollination,1,Kniphofia_linearifolia,Xanthorrhoea,Habitat Fragmentation; Habitat fragmentation,NA,hermaphrodite,both generalist; vertebrate generalist,herb,extratropical,South Africa,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
